stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,14.73,0.85,1.8,0,0,2.41,0,0,0,0,0,0,0,0.81,0,0,0.81,16.51,0,0,0,0,0,0,4.37,0,0,11.49,0,0,0,0
 24-34,0,0,5.34,0,3.8,0,0,0,0,0,0.7,0,0,0,0,1.61,0.83,0,2.03,45.83,0,1.78,0,0,0,0.8,0,3.08,0.75,12.45,0,0,0,1.01
 36-46,0,0,0.59,0,7.12,0,0,2.55,0,0,0,0,0,0,0.91,4.78,0,0,0,38.65,0,1.46,0.63,0,0,16.33,0,3.29,0,5.87,0,0,1.99,0
 48-58,0,0,0,0,30.33,0,0.83,11.62,0.69,3.28,0,0,0,0,0,2.77,0,0,0,46.66,0,11.97,0,0,0,2.07,0,0,0,6.29,0,0.37,0,0
 60-70,0,0.62,0.88,0,36.16,0,1.35,21.18,0,0,0,0,0,0,0.72,9.77,0,0,0,41.97,0.66,4.62,0.78,0,0,11.01,0,0,0,12.19,0,0.82,0.72,1.18
 72-82,0,0,0,0.53,29.7,0,0,19.98,0,0,0,9.81,0,0.79,0,7.2,0,0,0,17.26,0,1.81,0,0,0,3.29,0,0.76,0,0,1.25,0,0,0.55
 84-94,0,0,0.78,0,25.69,0,0,9.13,0,1.52,0,0,0,0,0.56,0.78,0,0,0,10.32,0,0,0,0,4.92,6.7,0,0,0,0,0,0,0,0
 96-106,0,0.61,2.69,13,8.21,0,3.59,5.79,0,0.56,0,0,0.92,0,2.94,3.93,0,1.84,0,16.8,0,3.6,0,0,0,7.02,0,0.87,0,0,2.66,0,1.61,0
108-118,0,0,1.86,0,18.85,0.43,0,16.58,0,0.42,0,0.83,4.04,0,0,0.82,0,0,0.68,27,0,2.27,0,0,0,7.66,0,0,0,0,0.48,0,0,0
120,0,0,4.06,0,0,0,0,9.9,0,1.87,0,0,1.6,0,0,1.21,0,0,0,32.45,0,0,3.91,0,0,10.24,0,0,0,0,0,0,0,0
