stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.91,2.56,2.04,0,1.29,0,0.82,0,0,0,0,0,0,0,0,6.7,0,0,1.69,32.09,0.82,0,0,0,0,3.48,0.98,0,0,0,5.78,0,0,0,0,0
 24-34,0,7.61,0.68,0,5.96,0,0,0,4.94,0,0,0,0.6,0,0,18.68,0.76,0,3.61,102.33,1.88,1.46,0,0,0,8.91,0,0,0,1.47,33.89,0,0,3.83,0,0
 36-46,0,5.69,0,0,9.49,2.5,0,0,4.11,0,0,0,0,0,0,12.77,0,0,1.62,120.36,0,1.15,0,0,0,6.91,0,0,0.7,0,28.34,0,0,0.56,0,0
 48-58,0,7.57,0,0,30.18,1.7,0,0,10.67,0,6.26,0,0,0,0,16.44,0,0,2.71,93.26,4.37,1.19,0.97,0,0,7.48,0,5.81,2.57,0,20.42,0,0,7.41,0,0.63
 60-70,0,11.23,0,0,56.4,0,0,0.83,7.92,0,0,0,0,0,0,12.22,0,0,5.78,124.11,0,0,1.33,0,0,0,0,0,3.45,0,28.09,0,1.77,0,0,0
 72-82,0,1.27,4.67,0,75.15,1.29,1.27,4.21,3.36,1.55,0,1.09,0.53,5.83,2.05,19.22,0,0.93,0.59,158.37,0,1.64,1.07,0,0,6.02,0,0,1.81,0,18.22,0,0.66,4.31,2.11,0
 84-94,0,10.86,0.99,0,78.72,0.7,0,0,8.44,0,1.92,0,3.53,0.75,0,11.36,2.88,0,2.71,54.34,0.67,0,0,0,0,0.84,0,0,0.6,0,10.15,0,0,3.07,0,8.19
 96-106,0,3.42,0,0,43.65,0,1.02,0,8.92,1.19,1.22,1.03,0,0,3.02,14.8,0,0,1.53,68.74,0,0.59,1.77,0,0,8.24,0,0.62,0,0,12.31,2.26,0,0,0,0
108-118,0,7.24,1.51,0.59,34.42,0.55,1.46,0,8.9,1.48,0,0.68,0,0,8.04,3.89,0,0,4.49,62.24,0,0,1.6,0,0,4.41,0,0,1.12,0,4.67,3.74,0.99,1.44,0,0
120,0,16.33,8.61,0,39,0,1.16,2.45,22.77,0,0,2.88,0,0,5.37,6.6,0,0,8.02,84.01,0,0,0,0,12.66,1.35,0,0,0,0,8.69,7.3,0,9.87,0,0
