stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,71.03,810.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0
  5-6,16.77,287.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,0,0,0,0,0,0,0,0
  7-9,10.31,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.64,0,0,15.01,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,17.22,0,0,0,0,0,0,0,0,0,0,80.02,0,0,5.47,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,1.95,0,0,13.93,0,0,0,0,0,3.32,2.75,0,0,0
 24-34,0,0,0,0.6,0,0,39.14,0,0,0,0,0,0,0,0.73,0,2.66,2.32,2.8,2.08,0,0,0,0,2.48,0,0,0.76
 36-46,0,0,0,0,0,0,39.45,0,1.29,0,0,0,0,0,0,0,0,37.15,0,0,0,0,0,0,1.91,0,0,0
 48-58,0,0,0,0,0,0,103.12,0,5.72,0,0,0,0,0,0,0,0,40.11,0,1.04,0,0,0,0,2.67,0,0,0
 60-70,0,0,0,1.93,0,0,226.73,0,13.12,0,0,0,0,0,2.62,0,6.01,20.69,0,1.46,0,0,0,0,11.22,0,0,0
 72-82,0,0,0,0,0,0,216.09,0,30.03,0,0,0,0,0,4.35,0,1.24,43.41,0,0.61,0,0,7.13,0,3.15,0,0,0
 84-94,0,0,0,2.54,0,0,461.91,0,46.19,0,2.59,0,0,0,13.1,0,0,23,0,4.09,0,0,0,0,5.33,0,3.29,0
 96-106,0,0,0,3.72,0,0,665.17,0.68,72.16,0.71,0,0,0,17.68,20.28,0.92,1.38,45.75,0,4.9,0,11.98,0,0,2,0,0.92,0
108-118,0,0,0,0.55,1.73,0.59,965.89,0,59.69,0,0,2.23,0.64,0.76,9.35,0,2.44,56.26,0,6.25,0,1.44,0,0,1.26,0.68,0.52,0.99
120,0,0,0,3.48,0,0,444.59,0,101.3,0,0,0,0,0,10.42,0,0,61.78,0,5.39,0,0,0,0,19.88,0,0,0
