stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,76.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.46,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,28.18,3.33,0,0,28.56,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.12,0,0,0,0,0,0,0,10.82,0,0,0,0,0,0,0
 14-21,0,2.18,15.98,0.88,2.79,0,0,0,1.25,1,0,0,0,0.8,0,0,8.24,0,0,5.97,61.28,0.9,1.55,0,2.2,0,0,18.99,0,0.8,7.75,17.99,0,3.12,0,0
 24-34,0,1.41,4.39,1.11,8.65,0,0,0,3.14,1.81,0,0,0,0,0,0.65,29.17,0,0,7.13,181.45,2.03,0.99,3,0,0,9.75,0,0,1.73,4.53,61.2,0,4.78,0,0
 36-46,0,0,3.37,1.06,35.47,0,0,2.07,5.31,0,0,0,0,0,0,0,28.67,0,0,7.38,131.25,0.88,0,0,0,0,3.64,0,0,0,0,40.94,0,1.16,0,0
 48-58,0,0,1.78,0,30.51,0,0.37,0,6.97,0,0,0,0,0,0.78,0,18.93,1.67,0.44,1.83,82.77,0,0.38,0,0,0.39,0.77,0,0,0,0,24.75,0,0,0,0
 60-70,0,0,1.9,0,76.11,0,0,1.28,5.04,0,0,0.6,0,0,0,0,23.9,0,0,2.95,77.83,0,0,1.12,0,0,1.44,0,0,2.16,0,27.67,0.61,3.07,0.59,0
 72-82,0,0,5.38,0,30.08,0,0,1.37,3.98,0,0,0,0,0,0.72,0,26.46,0,1.36,1.63,97.45,0,0,0,0,1.77,2.19,0,0,0,0,11.47,0,0,0.59,4.49
 84-94,0,0,27.14,0,35.01,0,0,0.74,2.23,0,0,0.8,0,0,1.21,0,14.49,0,0,0.78,63.59,0,0,2.13,0,0,1.39,0,0,0,0,9.07,1.23,1.29,0.61,0
 96-106,0,0,2.07,0,28.21,0,0,1.53,1.08,3.81,0,0,0,0,0.77,0,21.4,0,0,0.7,24.04,0,5.72,1.1,0,1.3,2.1,0,0,0,0,19.84,0,0,1.59,0
108-118,0,0,0.57,0,26.99,0,0,0,9.05,1.35,0,0.69,0.59,0.47,1.41,3.12,24.06,0,0,0.81,35.73,0,0,2.63,0,0,4.31,0,0,0,0,9.74,0,0,2.28,0
120,0,0,2.13,4.98,16.09,4.08,0,1.58,1.85,0,0,2.95,0,1.51,0,0,3.86,0,0,1.82,23.78,0,0,0,0,0,4.59,0,0,0,0,18.53,0,0,0,0
