stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,73.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.49,268.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,8.9,0,0,0,0,63.34,0,0,0,0,0,0,0,0,0,0
  7-9,32.29,96.65,0,101.22,0,0,0,366.47,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,2386.65,57.79,0,0,806.49,0,22.83,0,0,0,0,0,0,0,0,0,0
 10-12,5.75,104.73,0,259.57,0,17.69,0,484.12,0,0,0,0,0,31.15,0,0,0,0,0,0,0,0,0,0,4482.65,59.89,0,0,1407.69,0,11.19,4.94,10.7,150.83,0,14,25,0,0,0,0
 14-21,2.31,0.93,8.59,79.63,533.31,99.18,0,51.62,0,0.95,0,244,82.89,0,3.84,2.54,10.88,0,0,0.85,243.42,0,0,438.12,2653.87,221.36,3.39,108.62,20.02,0,75.76,5.09,257.68,38.77,102.95,1123.4,2774.82,0,0,13.38,0
 24-34,0,0,7.4,26.36,85.69,10.08,0,72.08,0.67,4.09,3.91,146.26,9.77,0,0.6,0.87,11.78,0.92,11.99,0,269.04,4.31,0,199.89,3133.11,31.47,6.02,23.15,0,4.89,97.04,0,2.12,5.89,22.65,91.83,1635.28,0,0,59.11,1.73
 36-46,0,0,2.24,2.11,10.7,0,0,94.46,3.75,0,4.08,31.14,1.39,15.3,1.71,0,2.59,1.3,5.18,2.54,130.29,0,0.77,60.08,1588.01,22.24,1.26,6.58,0,0,76.04,0.91,1.82,12.13,23.61,2.93,849.53,0,0.62,11.79,3.92
 48-58,0,0,1.77,0,8.74,0,0,134.51,6.48,0,1.13,11.37,4.19,0,0.42,0,1.18,6.22,0,0.56,53.91,0.53,0.58,24.73,405.13,3.93,0,9.71,0,0,23.98,0,0,4.17,5.78,0,351.18,0,0,6.37,6.68
 60-70,0,0,0,0,3.2,0,0,199.23,0,4.17,0.83,0,0,0,0,2.46,0,4.32,0,0,23.32,2.53,0,12.66,194.06,0.65,0,8.13,0,0.97,5.72,0,0,12.28,5.35,0,64.38,3.21,0,7.47,0
 72-82,0,0,0.79,0,3.42,0.92,0,97.78,0,0,1.34,4.85,0.67,0,0,0,0,4.02,1.6,0,27.27,0,7.82,7.7,80.04,0,0,1.1,0,2.52,10.05,0,0,15.03,1.81,0,15.72,0,0,0.87,1.18
 84-94,0,0,3.73,0,0.59,0,0,84.36,0.67,5.33,3.75,3.36,1.46,1.3,0,0,0.92,2.77,1.5,0,33.77,0,1.54,1.26,60.9,0,0,1.22,0,0,4.95,0,0,14.22,0.73,0,33.97,0,0,1.73,0
 96-106,0,0,0,0,1.31,0,0.71,57.21,0,0.88,2.38,10.93,0,0,0,0,0,7.8,3.27,0,24.99,0,0,3.84,68.58,0,0,2.25,0,2.54,9.49,0,0,13.97,0,0,11.06,0,0.68,5.3,0
108-118,0,0,0,0,1.57,0,1.14,30.91,0,1.76,0,9.36,0,0,0,0.68,3.45,11.99,2.58,0.94,42.65,1.27,4.95,4.53,80.89,0,0,1.87,0,2.81,7.58,0,0,7.58,0,0,3.43,1.01,0,0.44,3.4
120,0,0,2.94,0,9.87,0,0,51.83,0,0,0,23.66,0,0,0,0,0,0,4.92,0,25.72,0,0,1.95,132.93,0,0,0,0,0,6.02,0,0,10.09,0,0,0,0,0,0,7.59
