stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,84.06,2378.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.61,0,0,0,0,0,0,0,0,0,0
  5-6,24.41,534.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.08,0,0,10.79,0,0,0,75.73,0,0,0,0,0,8.77,0,0,0,0,0,0,0,0,0,0,318.4,0,0,0,60.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.44,0,42.74,0,0,0,66.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918.9,18.97,0,0,432.69,0,0,4.36,73.44,0,20.29,5.88,0,0,0,0,0
 14-21,0,0,0,5.34,41.36,19.24,0,55.3,0,0,0,3.92,3.41,0,0,0,11.86,0,0,0,0,29.12,0,16.68,444.15,6.28,3.34,3.06,15.13,0,2.39,85.72,11.17,4.41,115.87,114.31,0,0,5,0,0
 24-34,0,0,0.67,0.67,13.21,1.93,0,92.95,0,0.66,0,8.25,2.39,0,0,0.6,9.6,0.92,2.76,0.65,0.59,32.24,0,9.62,570.25,2.43,2.02,5.53,0,0,7.14,0,0.98,0.65,19.83,86.92,0,0,5.66,0,6.26
 36-46,0,0,0,0.56,2.73,0,0,131.08,3.72,0,0,6.69,0,0,0,0.89,2.07,0,0,1.78,0,25.27,0,14.48,393.72,0,3.17,0.89,0,0,16.48,0,0.58,0.74,0,64.38,0,0,6.39,0,0.66
 48-58,0,0,0,0,16.14,0,0,179.56,1.05,0.39,0.72,24.35,0,0.54,1.32,0.4,4.2,2.18,0,1.03,0,35.95,2.58,10.39,377.98,0,0.59,1.47,0,0,4.21,0,2.06,5.74,0,56.15,0,0,2.5,0,0
 60-70,0,0,0,0,13.53,0,0,226.14,5.38,0,0.78,10.83,6.98,0,0,5.56,1.59,0.67,0,3.25,10.37,24.15,0.63,6.58,349.22,1.73,0.89,0,0,2.23,1.61,0,4.19,1.39,0,37.18,0,0,8.04,0,0
 72-82,0,0,1.77,0,4.05,1.47,0,215.23,0.79,0,2.07,25.96,2.49,0,0.58,17.11,0,0,2.73,0.55,7.83,54.67,1.74,7.47,312.09,0,1.92,1.01,0,0,10.46,0,2.88,0,0,21.57,1.36,0.52,8.91,0.57,0
 84-94,0,0,0,0,4.17,3.15,0,125.7,0,0.89,2.37,37.03,6.73,0,0,11.97,7.14,1.89,0.89,2.19,7.54,37.44,6.81,12,228.19,1.12,0.56,2.01,0,0.79,14.36,0,6.07,2.06,0,16.64,0,1.7,9.51,1.59,8.48
 96-106,0,0,1.1,0,24.74,0,0,152.77,1.33,0,1.85,35.04,3.62,0,0,11.24,3.91,0,1.89,0,0,39.6,0,13.37,201.61,0,7.46,9.23,0,0,18.92,0,1.55,2.51,0,10.06,0,3.16,14.96,0.81,19.58
108-118,0,0,0,0,15.41,10.27,1.8,161.5,0.42,1.07,0.94,26.08,3.31,0,1.02,10.55,5.26,1.54,3.31,2.15,0.47,52.99,4.32,11.83,276.11,0.6,3.48,2.11,0,0,17.2,0,2.32,1.5,0,4.81,0.89,0,3.09,0,3.2
120,0,0,0,0,25.09,2.75,0,67.5,2.29,1.17,0,27.13,2.77,0,0,25.63,4.79,0,0,4.59,0,23.21,0,28.73,222.78,3.33,1.32,1.47,0,0,11.25,0,1.56,1.22,0,22.15,0,3.84,11.31,0,0
