stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,32.98,948.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,0,0,0,0,0,0,0,0,0,0
  5-6,150.51,1633.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.98,0,0,0,14.92,72.04,0,0,0,0,0,0,0,0,0,0
  7-9,16.51,26.27,0,52.65,0,0,122.56,0,0,0,0,0,12.06,0,0,0,0,0,0,0,0,0,0,819.22,35.68,0,0,305.26,7.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.9,0,19.55,0,12.48,43.14,0,0,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,660.17,27.21,0,0,238.38,0,5.47,0,38.09,0,5.74,0,0,0,0,0
 14-21,0,0,0,1.54,25.88,2.7,3.94,0,0,0,0,0,0,2.99,0,2.13,0,0,0,15.5,0,0,8.97,125.05,1.76,0,0,2.61,2.51,0,8.53,0.85,0.95,10.31,32.17,0,0,1.77,0
 24-34,0,0,0,0.59,3.41,0,12.23,0,0.8,0,4.88,0,0,0,0,0.65,0,0.71,0,9.98,0,0,1.69,198.15,0,1.64,0.78,0,5.34,0,0,0,0,0.64,30.61,0,0,2.59,0
 36-46,0,0,0,0,2.04,0,28.36,0,0,0,2.61,0.57,0,0,0,0,0,0,0,16.18,0,2.04,3.02,172.95,0,0,0,0,12.91,0,0,1.04,0,0,47.81,0,0,4.68,0
 48-58,0,0,0,0,3.15,0,82.27,0,0,0,12.3,0.89,0,1.83,0,0,0,0,0,29.74,0,0.46,3.43,167.88,0,2.91,0,0,6.81,0,0.92,0,0,0,41.23,0,0,0,10.69
 60-70,0,0,0,0,0,0,50.09,0,0,0,21.63,0,0,0,0,0,0,0,0,16.38,0,0,1.73,127.6,0,1.02,0,0,0,0,0,0,0,0,7.66,0,0,2.1,7.78
 72-82,0,0,0.5,0,1.77,0,63.39,0,0,0,10.79,0.53,0,1.08,0.59,0.5,0,3.76,4.19,19.05,0,1.07,2.3,98.91,0.66,0.95,2.53,0,1.05,0,0,0,0,0,7.91,0,0.5,1.38,2.51
 84-94,0,0,0,0,2.69,0,54.66,0,1.93,1.17,19.98,0,0,1.01,0.69,0.6,5.76,0,0,14.5,0,3.74,2.09,90.96,0,0,0,0,18.83,0,0,0,0,0,12.25,0,0,0,0
 96-106,0,0,0.88,0,4.11,2.54,14.71,0,0,0,10.74,1.05,0,1.6,1.54,2.81,0,0.66,0,7.53,0,0,3.77,51.73,0,0,0,0,4.06,0,0,0.69,0,0,2.16,0,4.09,0,0
108-118,0,0,0,0,6.25,7.17,21.72,0,4.54,0,5.01,0.54,0,0,1.5,0,1.54,1.88,0,17.8,1.15,0,3.14,82.1,0.67,1.07,0.76,0,2.99,0,0,0,0,0,0.87,0.5,0,1.12,0
120,0,0,0,0,30.56,11.97,29.54,2.47,0,0,6.76,1.61,0,0,0,0,0,0,0,11.45,0,10.85,8.48,54.94,0,0,0,0,10.91,0,0,0,0,0,0,0,0,1.72,0
