stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,247.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0
  5-6,49.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.95,0,0,0,0,0,0,0,0,0,0,43.53,0,0,0,8.25,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.21,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,134.26,0,0,0,7.46,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,36.35,0,0,0,0,0,0,0,13.32,0,0,0,0,0
 24-34,0,0,0,0.74,0,0,1.8,0,0,0,2.64,0,0,0,0,0,0,187.72,0,1.7,0,0,0,0,0,65.47,0,0,0,0,0
 36-46,0,0,0,0,0,0,33.26,0,0,0,18.5,0,0,0,0.99,0,0,515.01,0,1.92,0,0,0.74,0.81,0,164.81,0,0,0,0,0
 48-58,0,0,0,0,0.59,0,88.86,0,0,0,28.5,0,0,0,1.79,0.44,0,814.79,0.79,2.21,0,0,1.24,0,0,123.54,0,0,0,0,6.05
 60-70,0,0,0,0,0,0,251.59,0,0.59,0,42.11,0,8.92,0,9.33,0,3.13,1239.62,0,0,0,0,0.75,0,0,133.91,0,0,0,0,7.62
 72-82,0,1.15,0,4.3,0.68,0.9,198.77,0,0,0,34.1,0,0,0,6.17,0,0.8,805.52,0,1.69,1.61,0,0,0,0,73.84,0.91,2.49,0,0.5,6.4
 84-94,0,2.22,0,2.62,0,0,159.15,0,0,1.86,17.54,0,0,0,4.72,0,0,478.53,0,0,0,0,4.65,0,0.74,53.39,0.9,0,0.61,0,0
 96-106,0,0,0,0,0,0,102.3,0,0.68,0,17.87,0.95,0,0,3.46,0,0,294.81,0,0,0,0,1.53,0,0,5.76,0,1.48,0,0,0
108-118,0,0,0,7.21,0,0,61.32,2.21,0,0,23.41,0,0,0,9.95,0,0,429.36,0,0,0,0,0,0,0,22.09,0,0,0.65,1.72,0
120,0,0,0,1.39,0,0,72.93,0,0,0,22.81,0,3.42,0,1.89,0,0,672.59,0,0,0,0,0,0,0,18.43,0,0,2.96,1.05,0
