stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,heart,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,41.55,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0
  5-6,6.89,107.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.4,0,6.2,0,9.55,0,0,0,0,73.38,0,0,9.1,0,0,0,0,0
 10-12,0,0,0,0,4.03,0,0,0,0,0,0,18.67,11.68,0,0,0,7.26,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0.83,0,0,0,0
 24-34,0,0,0,0,1.87,0,0,0,0,0,0.87,22.2,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,10.83,0,0,0,0,0,1.01,0,0
 48-58,0,0,0,0,3.63,0,0,0,0,1.08,0,14.28,0,1.22,0,0,0,0,1.28,0.47
 60-70,0,0,0,3.11,2.42,0,0,1.45,3.9,0,0,5.44,0,0,0,0,0,1.12,0,0
 72-82,0,0,0,0,2.9,6.92,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.91,0,0,0,0,0,1.48,0,0,0,0,1.62,0,0,0
 96-106,0,0,0,0,0.89,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.23,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
120,0,0,0,0,0,4.45,0,0,0,0,0,8.41,0,0,0,0,0,0,0,0
