stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,29.57,836.12,0,0,0,0,0,0,0,0,0,0,0,0,0,55.28,0,0,0,0,0,0
  5-6,16.73,564.29,0,0,0,0,0,11.49,0,0,0,0,35.4,0,0,7.13,0,0,0,0,0,0
  7-9,6.67,8.85,3.32,0,0,32.78,0,15.42,0,0,0,0,194.43,3.96,21.05,0,9.91,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,132.8,0,10.72,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.37,0,2.7,32.25,1.77,0,0,0,1.82,0,4.74,7.47,0
 24-34,0,0,0,0,0,0,0,0,0,11.95,0,2.99,140.12,0.64,0,0,0,0,0,0,6.63,0
 36-46,0,0,0,0,0,0,4.7,0,0.57,5.22,0,0,135.99,0,0,0,0,0,0,0,5.05,0
 48-58,0,0,0,0,0,0.69,7.37,0,0,1.74,0,0.54,97.44,0,0,0,0,0,0,0,1.24,0
 60-70,0,0,0,0,0,0,2.33,0,0,2.43,0,0,132.69,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.26,3.31,3.06,4.07,0,0,2.75,0,1.45,61.51,0,0,0,0,0,0,0,1.74,0
 84-94,0,0,0,0,0,5.02,11.82,0,0,4.29,0,0,90.02,0,0,0,0,0,1.19,0,0,0
 96-106,0,0,0,0,0,1.13,8.95,0,0,2.11,0,0,42.66,0,0,0,0,0,0,0,0.99,0
108-118,0,0,0,0,0,10.82,8.47,0,0,0,0.69,0,75.22,0,0,0,0,0,0,0,0,0
120,0,0,0,1.65,0,9.93,22.09,0,0,6.28,0,0,88.55,0,0,0,0,0,0,0,0,6.48
