stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.93,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.22,0,0,0,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.18,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.36,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.43,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,12.43,0,0,0,0,0,2.93,0,1.98,8.43,0,0,0,0,0
 24-34,0,0.71,1.05,0,0,2.82,0,0,0.61,0.71,0,0,0,0,0,0,0,2.9,0,3.45,54.58,0,0,0,0,0.73,0,0,0,14.18,0,0,0,0,0
 36-46,0,0,0,0,0,9.56,0,0,0,0,0,9.47,0,0,0,0,0,3.94,0,0.73,83.28,0,0,0,0,1.52,0,0,0,15.78,0,0,0,0,0
 48-58,0,0,0.97,0,0,16.16,1.17,1.37,5.36,0,0,0,0,0,0,0,0,7.28,0,1.46,67.96,7.99,1.84,0,0,11.46,0,0,0,13.1,0,0,0,0,0
 60-70,0,0,0,0,0,14.84,0,0,4.91,0,0,0,0,0,1.14,0,0,7.12,0.59,3.7,94.74,0,1.19,0,0,0,0,1.06,0,11.62,0,0,0,0,0
 72-82,0,0,2.63,0.84,0,11.21,0,0,4.78,0.61,0,0,0,0,0,0,0,19.27,1.32,2.09,44.23,0,1.13,4.03,0,0,0,1.77,0,3.12,0.53,0,1.55,1.29,0.55
 84-94,0,0,1.74,0,1.09,19.63,0,0,3.48,0,0,0,0,0,0,0,0.96,11.41,0,0,31.49,0,0,0,0,3.84,0,0,0,0,0,0,1.9,0,0
 96-106,0,0,1.35,5.04,0,4.24,0.73,0.75,3.56,0,0,1.53,0,0,0,0,0,4.93,0,0,53.77,0,0,1.42,0,0.57,0,0.62,0,4.22,0,0,3.54,0.82,0
108-118,0,0,0,0,0,26.5,0,0,11.02,0.66,0,0,0.64,0.42,0.85,0,0,7.28,0,0,56.34,0,0,0,0,3.08,0,0,0,1.98,0,1.36,0,0,0.51
120,0,0,4.18,0,0,38.19,0,0,11.16,0,0,0,0,1.28,0,2.11,0,4.24,0,0,107.48,0,0,2.72,0,0,0,0,0,0,0,0,0,8.85,4.83
