stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,0,226.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.19,145.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.05,22.01,0,0,8.53,0,0,0,7.27,0,0,0,0,0,0,0,40.21,0,0,0,17.16,0,10.25,0,0
 10-12,0,0,0,0,3.13,0,0,0,7.69,0,0,0,0,0,0,0,40.72,0,0,0,16.16,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,1.78,0
 24-34,0,0,0.85,0,0,0,0,0,0,15.58,0,0,0,0,0,0,7.18,0,0,0,0,0,0,1.34,0
 36-46,0,0,8.85,0,0.92,0,2.8,0,0,127.96,0,0,0,0.58,3.81,0,3.93,0,0,0,0,0,0,3.54,0
 48-58,0,0,6.79,0,12.95,0,0,0,0,88.86,0,0,0,0.62,29.48,0,7,0,0,0,0,0,0,0,0
 60-70,0,0,15.14,0,8.17,0,0,0,0,203.67,0,0,0,1.38,14.42,0,2.73,0,1.78,0,0,0,0,0,0
 72-82,0,0,11.42,0,27.17,0,0,0,0,324.2,0,0,0,1.22,9.82,0,4.37,0,2.95,0,0,0,0,0,0
 84-94,0,0,46.4,0.63,2,0,0.67,0.96,0,505.84,0,0,26.77,8.09,18.64,0.58,4.26,0,0,0,0,0.55,0,0,0
 96-106,0,0,111.56,5.74,16.48,0.94,6.34,18.84,0,846.67,0,0,0,17.35,19.96,0,33.13,0,0.58,3.16,0,1.22,0,0,0
108-118,0,0,145.36,1.72,2.79,0,0,0,0,957.62,2.05,0,0,5.4,31.24,0.49,21.61,0,2.32,0,0,3.6,0,0,0.44
120,0,0,95.18,0,5.89,0,0,0,0,571.34,0,2.94,0,0,19.49,0,8.25,1.08,1.46,0,0,0,0,0,0
