stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,3.35,0,0,0,0,0,0,0,6.65,8.79,3.43,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,5.62,0,0,0,0
 14-21,0,0.85,0.86,0,0,0,0,0,0,3.64,0,0,0.88,0,0,0,0,20.61,0
 24-34,0,1.51,0,0,0,4.52,0,0,0,0,0,0.8,3.25,0,0,0,0,28.27,4.56
 36-46,0,7.75,0,0,1.35,5.36,0,0,0.75,0,0,0,1.64,0,0,0,0,17.88,0
 48-58,0,0,0,0,0.66,0.86,0,0,0,1.99,0,0,5.7,0,0,0,0.93,18.35,0
 60-70,0,0,0,0,0.58,1.17,0,0,0,8.6,0,0,2.36,0,0,0,0,3.14,0
 72-82,0.69,0.8,0,0,0,0,0,0,0,17.26,0,0,1.03,0,0,0,0,8.76,0
 84-94,0,0,0,0,1.78,0.82,0,0,4.19,4.27,0,0,5.53,0,0,0.61,0,1.68,1.16
 96-106,0,0,0,0,0,0,0.63,1.22,0.74,6.85,0,0,4.88,0,0,0,0,4.9,0
108-118,0,0,0,2.65,0,2.26,0,0,1.3,8.63,0,0,17.27,0,0,0,0,7.26,0
120,0,1.16,0,0,0,0,0,0,6.22,1.1,11.12,0,2.23,0,0,0,0,0,0
