stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,2339.95,17504.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.79,0,0,0,0,0,0,0,0,0,0
  5-6,6051.12,33854.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.46,548.13,0,0,73.28,0,183.35,0,0,0,0,0,0,0,0,0,0
  7-9,288.84,470.59,0,25.58,0,0,0,647.15,0,0,0,0,0,47.14,0,0,0,0,0,0,0,0,0,0,11554.82,2577.88,0,0,10657.67,0,29.41,0,0,0,0,0,0,0,0,0,0
 10-12,0,1060.37,0,381.95,0,10.63,0,175.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13267.57,294.35,0,0,4834.12,0,0,19.52,18.09,0,0,109.96,0,0,0,0,0
 14-21,0,0,0,2.04,41.61,2.21,0,39.25,0,0,0,4.08,0,15.04,0,0,0.92,5.24,0,0,21.5,70.36,0,59.39,1371.69,50.42,0,12.21,920.79,0,2.16,262.92,7.09,16.81,4982.7,1979.99,0,0,0,0,59.3
 24-34,0,0,0,0,64.81,1.53,0,87.56,17.27,0.71,1.66,2.04,0,0,0,0,0.81,34.66,0.74,0,64.62,207.43,0,42.92,1833.29,78.29,0.61,1.75,1,0,1.91,3.22,0.65,8.46,1589.27,547.14,0,0,10.01,0,180.22
 36-46,2.14,0,0,0,0,0,0,34.65,24.17,0.62,0,43.54,0,0,0.73,0,2.37,20.55,0,0,31.12,193.4,0,12.87,2457.45,83.86,2.74,0.8,0,0,1.2,0,0.75,0,27.82,837.01,0,1.23,0,0,134.77
 48-58,1.15,0,0,0,6.28,2.22,0,128.45,27.22,0,0.87,47.3,0,0,0,0,0,49.85,0.69,0,28.85,178.78,0,25.17,4323.21,51.52,0,0,0,0.59,8.74,0,0,0,0,1632.12,0,0,1.71,0,128.66
 60-70,0,0,0,0,6.78,0,0,151.81,19.58,1.51,0,65.42,0,0,0.77,0,0,71.74,0,0,6.96,71.11,0,14.95,3367.96,33.58,0,0,0,0,12.64,0,0,1.25,0,1923.87,0,0,0,0,137.53
 72-82,0,0,0.53,0,36.38,11.98,0,142.2,9.07,0,4.95,289.37,1.05,0,1.42,0.58,0,69.7,0,14.43,12.11,415.59,1.98,16.82,3056.03,5.31,0,1.57,0,1.1,4.59,0,5.22,0,0,736.1,22.61,0.53,8.18,8.31,134.15
 84-94,0,0,0,0,9.42,2.53,0,190.98,9.1,0,0,287.79,9.7,0,0,1.84,0,69.43,0,0,32.2,223.96,16.21,10.93,2066.5,8.7,0,2.75,0,0,7,0,0,0,0,672.89,3.02,0,3.79,2.64,140.2
 96-106,0,0,0,0,7.56,8.38,0,90.74,18.25,0,0.81,592.48,0.76,0,0,1.99,0,28.75,0.91,3.58,6.93,308.03,0,5.4,1499.46,2.49,0,0,0,0,7.9,0,0.68,1.39,0,250.62,0,5.76,7.67,0.93,102.17
108-118,0,0,0,0,11.05,2.98,0.45,75.49,20.42,0.69,0,494.79,0,0,0,0,0.73,121.81,0,8.49,26.89,363.78,3.55,18.25,1724.48,5.1,17.03,6.21,0,3.15,1.6,0,0,0,0,140.42,0,0,1.53,0,324.71
120,0,0,0,0,14.22,7.99,0,112.18,18.23,0,0,523.56,0,0,0,0,0,87.91,0,0,14.62,283.57,18.54,9.8,1732.2,6.47,0,0,0,0,17.95,0,0,0,0,105.37,1.27,9.46,0,0,133.99
