stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,55.12,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5.27,0,0,0,0.85,0,0.93,4.81,0,0,0
 24-34,0.65,1.89,0,0,0.66,0,0,0,0,2.44,0,0,147.78,0,2.14,0,0,0,0,34.08,0,1.68,0
 36-46,7.96,28.22,0,0,1.87,0,0,0,0,0.74,0,0.72,355.09,0,2.87,0,0,0,0,92.58,0,2.21,0
 48-58,2.3,86.59,0.93,4.63,7.8,0,0,0,1.98,3.95,0,0,544.08,0,0.47,0,0,0,0,86.78,0,0,0
 60-70,0,270.38,2.64,0,4.89,0,0,8.58,0,7.13,0,0,742.74,1.73,1.19,0,0,0,0,75.67,0,0,4.24
 72-82,0.62,296.38,0,0,10.3,0.94,0,0,0,8.52,0,0.66,556.37,0,1.07,0,0,0,0,58.28,0,7.17,0
 84-94,2.37,201.64,0,0,3.12,0,0.77,8.94,0,8.38,0,2.13,247.78,0,1.87,0,0,0,0,29.74,0,0,0
 96-106,1.37,117.6,0,0,8.29,0,0,0,19.36,3.05,2.34,0,216.31,0,0.93,0.59,0,0.6,0,11.11,0.61,0,0
108-118,1.88,159.87,0,0,4.73,0,1.44,1.19,0,6.04,0,0,242.95,0,5.52,0,0,0,0,1.77,0,4.19,0
120,10.9,99.87,0,21.04,11.01,6.77,0,0,0,0,0,10.02,271.21,0,17.42,0,0,0,0,17.17,0,0,0
