stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,38.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.82,0,0,0,0,0,0,0,0,0,16.57,0,0,0,0,0,0,0
  7-9,0,0,10.95,0,0,0,0,0,0,0,47.34,0,0,3.54,0,0,0,0
 10-12,0,0,3.39,0,0,0,0,0,0,0,46.64,0,0,7.62,0,0,0,0
 14-21,0,0,1.84,0,0,0,0,0,0,0,5.93,1.05,0,0,0,1.04,2.05,0
 24-34,0,0,1.52,0,1.1,0,0,0,0.87,0.99,6.61,0,0.61,0,9.05,0,3.86,0
 36-46,0,0,2.36,0,3.31,0,0,0,0,0,7.05,0,0,0,0,0,0,0
 48-58,0,0,3.79,0,0.95,0,0,1.77,1.1,0,16.13,0,0,0,0,0,0.75,0
 60-70,0,0,0.58,0,0,0,0,0,3.04,0,3.16,0,0,0,0,0,1.35,0
 72-82,0,0,1.42,1.2,0,0,0,0,2.9,0,2.56,0,0,0,0,0,5.72,0
 84-94,0,0,0,0,0.89,0,0,0,2.34,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,4.83,0,0.94,0,0,0,1.71,0,0,4.5
108-118,0,0.69,0.44,0,0,1.11,0.45,0,1.96,0,12.46,0,0,0,0,0,0,2.33
120,0,0,10.7,0,0,0,0,0,27.44,0,16.59,0,0,0,0,0,0,0
