stage,immune,ionocyte,lateral.line,mesenchyme,neural,notochord,slow.muscle
 36-46,1.68,0,0,0,0,0,0
 60-70,0.71,0,0,0,0,0,0
 72-82,2.8,0,0,0,6.19,0,1.81
 84-94,1.87,0,0,0,0,0,0
 96-106,8.65,0.89,0,0,0,0.62,0
108-118,16.74,0,0,0.94,0,0,0
120,31.96,0,1.15,0,0,0,0
