stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.33,0,0,0,0,0,0,0,0,0,0,0,0,3.55,1.51,0,0,0,4.33,1.16,0,0,0.8,0,0,1.27,0,0.87,5.45,7.06,0,0,0,0
 24-34,0,0.82,0,1.3,0,0,0,6.84,0,2.35,0,0,0,0,17.44,0,0,3.96,27.18,7.74,0,0.9,0,0,0,0,0.6,0,4.79,11.73,0,23.35,0,0
 36-46,0,1.6,0,0,3.38,0,0,0.6,0,0.89,0,0.62,0,0,19.23,0,0,7.6,24.85,5.93,0,0,0,0,0,0,0,0,0,4.46,0,8.41,0,0
 48-58,0,0.38,0,0.39,0,0,0.76,3.42,0,0,0,1.3,0,2.38,16.2,0,0,5.76,11.79,9.29,0,1.69,0,0.56,0,0,0,0,0,1.82,0,1.47,0,3.31
 60-70,0,0,0,2.39,0,1.19,1.86,6.09,0,0,0,4.39,0.7,0.71,35.34,0,0,4.29,3.88,0,0,0.77,0,0,0,0,0,0,0,5.32,4.5,3.44,0,8.37
 72-82,0,0,0,0,0.96,0.63,0,3.6,0,0,0,5.95,0,0,58.09,0,0.63,1.76,8.74,0,1.31,4.42,0,0,0,0,0,2.68,0,0,0,11.58,0,6.22
 84-94,0,0,0,8.03,0,0,0,7.55,1.29,0,1.41,6.56,0,1.55,23.71,0,0,0,0.63,0.6,0,0,0,0,0,0,0,0,0,0,2.05,3.31,0,1.67
 96-106,0,2.65,0,15.65,10.44,0,2.44,8.77,0,0,0,10.8,0,0,32.76,0.71,0,0,4.19,6.06,0,0.59,0,0,5.26,0,0,0.64,0,0,2.55,4.1,2.47,2.27
108-118,0,3.29,0,1.73,0,0.52,1.25,2.17,6.89,0,0,33.34,0,9.08,35.19,1.46,0,0,7.68,0.61,0,2.36,0,0,0,0,0,0,0,1,0,9.86,0,13.66
120,0,0,2.63,0,0,1.05,0,0,0,1.85,0,17.42,0,0,35.15,0,0,0,1.27,10.09,0,0,0,0,0,0,0,0,0,0,0,19.18,0,14.99
