stage,blastomeres,epidermis,eye,hatching.gland,lateral.line,mesenchyme,mucous,neural,otic,spinal.cord
  3-4,13.25,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.39,0,0,0,0,0,0,0
 24-34,0,0,0,4.49,0,0,0,3.63,6.98,0
 36-46,0,0,0,0,0,0,0,3.86,6.74,0
 48-58,0,0,0.68,0,0,0,2.1,5.51,2.51,0
 60-70,0,0,0,0,0.77,0,0,8.04,13.29,0
 72-82,0,0,2.67,0,0.79,0,0,22.69,14.34,0
 84-94,0,1.55,2.33,0,0,0,1.19,5.42,21.45,0.77
 96-106,0,0,6.72,0,0,1.17,0,1.32,19.09,0
108-118,0,0,1.62,0,0,2.31,0,11.43,32.72,0
120,0,1.48,2.79,0,0,0,0,34.72,97.74,0
