stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0
 10-12,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,7.07,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0.63,34.97,0,0,0,26.6,0,0,0,0,0
 36-46,0,0,0,0,0,0.68,2.6,0,0,0,0,3.23,0,0,59.89,0,0,0,30.39,2.87,0,0,0,0
 48-58,0,0,0,0,1.93,0,4.5,0,1.03,0,0,2.35,0,0,32.36,0,2.48,0,59.51,3.28,0,0,0,0
 60-70,0,0,1.8,0,1.49,0,0.86,0,0.59,0,0,0.96,0,1.06,2.33,0,0,0,136.96,10.63,0,0,0,0
 72-82,0,0,4.21,0,3.12,0,0,0,0,0,0,6.66,0,3.36,11.63,0,0,0,129.13,1.04,0,0.66,0,0
 84-94,0,0,14.72,0,2.28,3.26,0.7,0,6.17,1.13,1.55,0,2.91,0.66,4.18,3.6,0,0,532,0,0,0,0,0
 96-106,0,0,15.64,2.69,0.62,2.6,6,0.58,2.34,0,0,8.38,5.24,1.21,21.18,2.86,0,0,418.02,0,0,0,0,1.67
108-118,0,0,23.39,0,0,7.08,2.31,0.63,3.05,0,3,3.28,4.36,0,10.22,1.47,0,2.83,294.99,0,0.68,0,2.22,0
120,0,0,43.14,0,0,7.74,2.01,0,9.41,0,0,0,1.31,0,18.95,0,0,0,246.27,0,0,0,0,0
