stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,562.35,13407.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,927.72,15687.71,0,15.64,0,0,0,0,0,0,0,0,25.51,0,0,0,0,0,0,0,0,0,0,0,424.06,15.73,0,0,123.6,0,115.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,70.68,236.66,0,282.94,0,0,790.45,0,0,0,0,0,83.03,0,0,0,0,0,0,0,0,0,0,0,7289.87,147.21,0,0,2323,0,4.29,10.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,132.62,0,160.29,0,18.63,531.45,0,0,0,0,0,55.71,0,0,0,0,0,0,0,0,0,0,0,3903.06,67.46,0,0,1253.65,0,3.1,14.82,3.96,117.93,0,19.57,0,0,0,0,0,0
 14-21,0,1.36,1.05,16.84,107.78,21.99,88.2,0,0,0,20.67,6.64,0,4.35,0,1.77,0,0,0,0,74.11,0,0,59.89,874.06,10.23,1.13,5.6,42.58,0,16.37,0.9,110.94,5.86,0,108.44,285.74,0,0,5.39,0,0
 24-34,0,0,0,5.49,16.31,17.75,134.87,0,1.81,0.63,17.81,5.77,0,3.37,0,0,1.33,1.86,2.24,0.62,114.21,0,2.43,31.2,1188.69,12.52,17.37,6.47,0,0,49.29,0,0,2.84,0,5.15,216.63,0,0,30.05,0,1.12
 36-46,0,0,0,0,22.46,0,160.06,0,1.61,4.91,52.41,0,0,2.25,1.47,0,2.51,0,1.74,0,110.81,0,2.55,19.92,769.51,4.41,3.84,1.68,0,0,16.33,0,1.82,0,1.67,0,196.59,0,0,22.79,0,0.81
 48-58,0,0,0.42,0.42,27.17,0.49,190.58,0,2.79,2.88,79.02,1.9,0,2.62,0.81,0.49,2.34,0,0.55,4.22,93.47,0.82,14.46,16.2,644.2,1.73,7.29,2.53,0,1.12,10.43,0,0,1.83,0,0,138.11,0,0.64,4.31,0,1.84
 60-70,0.81,0,11.81,0,30.37,0,335.27,1.28,0,4.32,78.18,0,0,3.45,5.51,0.61,2.88,3.39,0,0.7,86.27,0,6.43,12.21,615.89,6.25,1.66,9.91,0,1.22,16.03,0,0,0.67,0,0,75.21,0,0.59,2.14,0,6.92
 72-82,0,0,0.56,0,22.03,2.05,203.21,0,3.08,3.22,48.63,1.08,0,0.9,1.53,0.61,4.83,2.85,1.4,0,106.21,0.59,2.59,20.04,406.88,0,2.48,4.82,0,2.36,5.46,0,0,0.66,0,0,58.61,0,0.5,13.02,1.92,5.92
 84-94,0,0,0,0,18.39,9.13,167.32,1.73,1.67,0,54.77,7.36,0.99,0.6,7.71,0.8,4.09,3.17,0.57,0.83,109.37,6.26,7.19,8.99,290.92,0.76,4.42,3.12,0,0,27.39,0,0,0,0.61,0,33.69,0,3.14,9.97,2.71,3.65
 96-106,0,0,0.63,0,24.78,18.78,150.86,0,3.51,2.69,55.05,3.36,0,0.88,5.49,0.67,3.71,2.86,1.32,0,95.06,0.77,4.57,19.55,241.76,0.64,8.28,4.54,0,1.92,9.39,0,0,1.59,4.11,0,28.23,0,0.69,23.1,7.2,15.26
108-118,0,0,0,0,27.79,6.47,94.41,0,1.63,6.19,61.37,4.53,0,5.91,10.91,2.16,3.5,0.51,3.6,0,116.79,0.51,4.24,18.27,263.82,0.46,6.6,7.58,0,6.09,19.66,0,0,2.48,0.51,0,17.99,1.33,3.22,13.01,8.6,11.59
120,0,0,0,0,23.49,9.52,90.95,2.44,2.68,3.48,93.72,2.43,0,3.08,7.75,0,1.05,3.39,0,6.49,89.42,0,2.4,22.98,304.2,0,0,2.92,0,9.62,9.43,0,0,5.35,0,0,32.97,0,0,30.81,0,4.77
