stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,12.63,158.63,0,0,0,0,0,0,0,0,0,17.06,0
  5-6,0,126.87,0,0,0,0,0,0,0,9.19,0,14.44,0
  7-9,0,0,0,0,0,0,0,0,0,23.92,9.89,0,0
 10-12,0,4.32,0,0,0,0,0,0,0,12.18,4.71,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.86,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.89,0,0,0
 36-46,0,0,0,0,0,0,0.82,0,0.6,1.26,0,0,1.07
 48-58,0,0,0,0,0,0.73,0,0.55,0,2.37,0,0,1.99
 60-70,0,0,0,1.27,0,0.6,0,0,0,0.67,0,1.14,3.01
 72-82,0,0,0,5.45,0,0,0,1.85,0,1.53,0,0,0
 84-94,0,0,1.69,0,0,0,0,1.46,0.85,0,0,1.21,0
 96-106,0,0,0.68,1.56,0,0,0.59,2.18,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1.96,0,0,0
120,0,0,0,0,1.05,0,0,2.03,0,0,0,0,0
