stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.23,4.54,44.82,21.69,0,26.71,0,0,0,6.83,0.82,3.58,0,0,0,0,0,0,0.95,15.47,0,0,25.18,385.68,9.57,0,1.86,0,0,65.34,20.82,2.53,1.83,40.37,80.26,0,0,1.89,0,10.42
 24-34,0,1.1,5.12,146.17,28.98,0,141.13,0.93,14.2,0,22.5,1.69,0.81,15.5,2.27,22.2,0,1.84,7.59,3.29,177.95,3.11,2.43,91.93,1311.91,21.9,7.82,16.39,0,2.91,209.67,6.99,6.17,11.11,45.05,265.71,0,0,105.53,0,23.49
 36-46,0,1.94,0,201.69,15.01,0,366.84,32.88,21.06,13.71,77.04,0,0,6.79,12.89,32.99,3.79,5.02,6.35,63.89,421.08,4.81,4.77,116.44,2089,39.32,19.79,19.42,0,0,429.24,0,11.22,25.93,1.28,429.88,0,0,85.07,0,39.49
 48-58,0,0.88,0,160.84,13.32,0,746.67,27.62,49.98,20.82,137.68,5.24,6.6,3.79,32.9,3.28,13.87,7.21,12.56,42.78,382.05,5.99,7.6,54.14,1769.93,46.12,12.32,33.96,0,1.2,175.05,0,10.73,20.04,0,348,0,1.47,50.9,0.78,106.33
 60-70,0,0,0,211.71,15.57,0,1847.38,29.43,73.84,63.47,289.12,28.32,17.05,13.61,10.6,40.32,44.76,15.63,14.98,50.39,965.38,30.5,41.25,121.35,3250.76,42.73,33.45,56.86,0.81,8.21,462.71,0,19.15,36.65,0,513.65,5.84,15.79,123.71,6.38,198.9
 72-82,0,8.32,0,129.57,150.16,24.57,1383.33,35.34,61.2,39.98,269.99,61.54,3.69,12.37,19.37,20.92,13.99,17.35,18.52,11.74,1009.96,25.4,67.41,79.46,2144.2,47.85,28.16,52.51,0,9.88,311.38,0,13.39,15.96,0,162.47,14.22,9.01,210.87,17.45,120.56
 84-94,0,12.57,0,363.49,71.88,53.45,1168.38,68.43,70.49,24.46,372.08,83.48,5.76,12.85,53.19,46.59,36.25,14.65,32.57,52.89,938.66,34.6,53.93,53.38,1815.38,70.27,39.57,76.28,0,8.29,1000.1,0,62.43,69.32,0,168.81,17.29,41.45,203.17,52.16,43
 96-106,1.12,6.7,0,313.28,132.98,84.76,891.36,82.92,87.01,20.4,250.84,103.53,1.32,9.61,75.05,35.52,55.47,15.4,55.22,3.18,694.24,27.78,30.48,67.29,1214.4,12.83,31.61,48.09,0,31.45,741.87,0,28.06,46.37,0,54.1,10.22,14.84,157.05,40.46,103.54
108-118,0,1.6,0.93,424.74,88.61,437.65,930.67,54.32,79.44,19.77,322.09,193.46,0,15.27,53.97,71.86,76.47,23.35,100.4,29.9,881.09,28.75,50.21,95.2,1337.92,44.03,28.21,71.99,0,20.73,658.3,0,33.49,36.62,0,54.65,29.53,34.77,165.45,31.88,38.22
120,0,4.34,10.48,998.85,114.02,257.88,1288.96,144.7,80.96,70.15,825.81,386.72,0,4.58,120.76,97.75,62.36,44.69,98.93,11.73,1647.99,36.86,116.82,163.04,3234.58,136.49,94.6,174.61,39.68,54.52,756.27,2.24,69.8,23.01,0,192.72,34.71,29.37,469.55,131.42,42.48
