stage,axial,blastomeres,eye,heart,immune,mesenchyme,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm
  3-4,0,73.8,0,0,0,0,0,0,0,0,0
  5-6,6.34,72.15,0,0,0,0,0,0,0,0,0
  7-9,0,0,14.23,0,0,0,23.19,0,3.54,0,0
 14-21,0,0,0,0.92,0,0.81,4.77,0,0,0,1.32
 24-34,0,0,0,0,0,0.76,2.63,0,0,0,0
 36-46,0,0,0,0,0,0,2.17,0,0,0,0
 48-58,0,0,0.43,0,0,0,0.58,0,0,0,0
 60-70,0,0,0,0,0,0,0.77,0,0,0.73,0
 72-82,0,0,0,0,0,0,0,0.56,0,0,0
 84-94,0,0,1.3,0,0,0,0,0,0,0,0
 96-106,0,0,2.21,0,0,0,0,0,0,0,0
120,0,0,0,0,6.22,0,0,0,0,0,0
