stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,61.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,224.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.72,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.7,0,0,0,27.93,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.97,0,0,0,17.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.62,4.59,0,0,19.99,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,24.64,0,0,93.63,0,0,0,1.1,1.2,0,0,0,0,0,7.27,0,0,1.71,84.76,0,0,0.92,1.95,0,1.67,0,5.65,0,0,13.6,0,0,0,0
 24-34,0,0,1.95,18.23,0,0,134.09,0,0,0.62,0.94,0,0,1.18,0,1.72,0,14.05,0,1.21,2.74,150.06,0,2.36,0.84,0,0,2.46,0,5.68,0,0.61,33.81,0,0,0,0
 36-46,0,0,0,3.3,0,0,189.92,0,2.3,0,23.85,0,0,0,3.81,2.83,0,20.41,0,3.29,0.99,399.3,0.56,4.45,2.78,0,0,7.37,0.65,1.9,0,0,59.36,0,0,1.09,0
 48-58,0.39,0,0,1.55,0,0,209.95,0,0,0,64.02,0.61,0,0.49,0,3.81,0,34.51,0,3.35,1.68,518.77,0,1.22,1.4,0,1.57,1.7,0,0,1.46,0,58.43,0,0.51,0,0
 60-70,0,0,0,0,0,0,375.33,0,0,0.87,110.5,0,0,0,0,0.79,1.98,35.31,0,8.98,1.58,639.48,1.73,0,1.67,0,0,6.32,0,0.83,0,0,47.08,0,1.93,0,0
 72-82,0,0,0,4.82,0,0,232.71,0,0,1.46,125.52,3.98,2.31,0.56,0.5,0,0,34.87,0,16.27,2.4,448.58,0,2.09,1.06,0,4.41,1.41,0,0,0,0,46.76,0,2.7,1.67,2.03
 84-94,0,0,0,4.31,0,0,361.19,0,0,0.91,109.09,0,0,0.82,1.72,0,0,28.14,0,3.83,0,339.69,0,0,0,0,0,1.87,0,1.13,0.79,0,39.8,0,2.34,0,2
 96-106,0,0,0,3.09,9.92,0.97,526.03,0.87,0.63,0,115.72,0,0,0.92,1.14,0,20.44,20.48,2.28,1.7,0,336.07,0,3.15,5.41,0,1.33,1.3,0,0.87,7.42,0,14.42,0,3.09,3.64,1.96
108-118,0,0,0,6.8,0.94,8.78,552.14,0.44,0,0,170.96,0,0,0.86,5.25,0,0.63,18.44,0,9.59,3.29,330.83,0,0,3.84,0,2.06,1.67,0,0.43,0,0,9.58,1.33,1.94,0,3.34
120,0,0,0,0,0,0,204.18,1.57,0,3.48,232.36,0,0,1.4,0,0,0,39.07,0,2.33,2.83,503.44,2.28,0,5.22,0,0,0,0,8.08,1.63,0,22.99,0,0,0,0
