stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,4.7,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.11,0,0,1.45,0,0,0,0,0,2.37,0,0,0,0,1.79,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0
 36-46,0,4.52,2.19,0,0.62,0,0,0,0,0,1.15,0,0.56,0,21.35,0,0,0,19.9,2.03,0,0
 48-58,0,2.56,1.22,0,0,0,0,0.93,0,0.5,0,0,3.82,0.42,7.54,1.64,0.69,0,5.86,1.8,0,0
 60-70,0,0,1.13,0,0,0,0,0,0,0.62,0,0,0.6,0,7.39,0,0,0,4.03,6.58,0,0
 72-82,0.68,0.5,2.34,0.57,0,0,0,0,0.7,1.76,1.15,0,1.36,0.57,8.18,0,0,0,5.02,0,0,0
 84-94,0,1.47,0,0,0,0,0,0,0,0,1.32,4.2,0,0,4.47,1.1,1.48,0,3.93,0,0,2.93
 96-106,0,2.45,3.83,0,0,0,1.81,0,0,0.66,0,0,0,0,2.72,0.59,0,0,5.76,0,3.18,0
108-118,0,0,0.54,0,0,2.73,1.06,0,0,1.93,0.69,0,0,0,4.21,0.46,0.98,0,18.08,0,0.42,0
120,0,10.29,0,0,0,10.82,0,0,0,0,0,0,0,5.2,0,0,1.51,0,1.17,0,0,0
