stage,eye,fin.epithelia,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,presomitic.mesoderm,slow.muscle,spinal.cord,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0.92,1.71,0,0.97,13.84,0.92,0
 24-34,0,0,0,0,0,0,1.38,3.64,0,0,0,0.99,0.98,0
 36-46,0,0,0,0,0,0,0,0.76,0.74,0,0,0,0,0
 48-58,0,0,0,0.4,3.22,0,0,1.66,0,0,0,0,0,0
 60-70,1.27,0,0,0,7.53,0,0,0,0,0,0,0,0,0
 72-82,1.91,0,0,0,0.78,0,0,6.8,0,0,0,0,0,0
 84-94,0,0,1.69,0,7.88,0,0,5.69,0,1.78,0,0,0,0
 96-106,0,1.04,0,0.63,2.62,3.14,0,0.69,0,0,0,0,0,0.86
108-118,10.31,0,0,0,6.73,0.83,0,7.57,0,0,0,0,0,1
120,0,0,0,0,7.49,0,0,14.77,0,0,0,0,0,0
