stage,epidermis,eye,glial,neural,spinal_cord
 24-34,0,0,0,10.38,0
 36-46,0,0,0,29.33,3.75
 48-58,0,0,0.4,34.26,0.52
 60-70,6.96,1.41,0.85,40.41,0
 72-82,0,0.68,0,29.36,1.81
 84-94,0,0.64,3.3,11.48,4.24
 96-106,0,0,0,15.04,1.03
108-118,0,0,0,13.42,1.92
120,0,0,0,92.45,0
