stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.77,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0.88,10.13,0,1.49,0
 36-46,0,0,0,16.05,0,0,0,0,0,0,10.03,0,0,0,0,0,1.52,0.77,23.72,0,0,0
 48-58,0,0,0,16.49,0,0,0,0,0,0,0,0,0,0,0,1.48,0,7.16,18.74,0,0,0
 60-70,0,0,0,230.53,0,0,0,0,0.58,0,0.65,0,0,0,0,7.9,0,0,45,0.7,0,0
 72-82,0.5,0,0.65,245.75,0,0,0,0.59,0,0,0,0,1.53,0,0,5.9,0.91,4.07,39.92,0,0,0
 84-94,0,0,0,184.09,0,0,0,0,2.45,0,0,0,1.87,0.91,1.05,15.78,1.98,1.5,131.96,0,0,0
 96-106,0,0,0,193.26,1.4,1.39,0,0,1.4,2.73,8.36,0,0,0.81,0,0.92,2.44,3.15,76.12,0,0,1.13
108-118,0,1.66,0,231.57,0,0,0.92,0.42,1.21,0,3.41,0,2.24,0,0.83,9.59,7.43,4.55,94.44,0,0,0
120,0,2.47,0,174.63,0,4.08,0,0,0,0,0,1.02,12.25,1.59,0,17.72,1.61,0,46.19,0,0,0
