stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,23.39,176.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,181.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,9.5,0,0,0,0,0,0,0
  7-9,7.47,0,0,0,4.3,0,0,4.75,0,0,0,0,0,0,0,70.43,3.7,0,16.81,0,0,0,0,0,0,0
 10-12,0,0,0,0,14.74,0,0,0,0,0,0,0,0,0,0,65.57,16.86,0,18.29,0,0,0,0,0,0,0
 14-21,0,0,0,1.66,0.82,0,0,0,0,0,0,0,1.44,0,0,19.5,0,0,0,0,0,0.83,4.26,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0.71,0,40.79,0,0.65,0,0,0.97,0,10.11,0,0,0
 36-46,0,0,0,0,14.62,0,2.86,0,0,0,0,0,2.55,0,1.79,83.01,0,0.78,0,0,0.67,0,17.11,0,0,0
 48-58,0,0,0.57,0.85,18.44,0.4,8.17,0,0.67,0,0,0,3.63,0,0,53.07,0,0.89,0,0,0,0,15.03,0,0,0
 60-70,0,0,3.66,0,45.33,0,8.64,0,0,0,0.84,0,2.52,0,0.99,64.98,0,0,0,0,0,0,9.04,0,0,0
 72-82,0,0,0,0,21.86,0,2.78,0,0,0,0,0,4.62,0,0,56.98,0,0,0,0,0,0,5.95,0,0,0
 84-94,0,0,0,0.62,23.62,0,8.15,0,0,0,0,0,4.44,0,0,28.6,0,0,0,4.73,2.04,0,3.76,0,0,0
 96-106,0,0,0,0,21.83,0,0,0,0,0.73,0,0,5.14,0,0,30,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,16.17,0,0,0,0,0,0,0,2.57,0,0.7,29.05,0,0,0,0,0,0,0,1.46,0.83,0
120,0,0,0,0,31.81,0,3.49,0,0,4.61,0,3.23,0,0,0,56.39,0,0,0,0,0,0,0,0,0,3.95
