stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,534.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.34,0,0,0,0,0,0,0,0,0
  5-6,33.7,1275.78,0,0,0,0,0,0,0,0,24.34,0,0,0,0,0,0,0,0,0,0,138.09,7.94,0,0,8.57,0,7.58,0,0,0,0,0,0,0,0,0
  7-9,9.33,16.52,25.09,0,0,16.24,0,0,0,0,36.84,0,0,0,0,0,0,0,0,0,0,781.52,23.17,0,0,200.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.33,40.54,0,0,66.02,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,480.1,23.7,0,0,197.35,0,3.3,0,22.23,0,0,0,0,0,0,0
 14-21,0,1.36,3.07,67.65,31,30.49,0,0,15.38,2.43,3.6,1.5,0,1.26,0,0.93,0,1.71,41.78,0,11.96,454.96,31.29,0,3.67,6.89,0,3.83,48.57,0.91,1.78,45.81,182.22,0,24.4,0,0.84
 24-34,0,0,0.86,12.63,0,23.11,0,0,9.38,0,0,0,0,0,0.64,0.78,0.86,0,39.66,0,10.84,288.61,0,4.17,1.9,1,0,24.54,1.19,0,0.88,2.61,58.62,0,17.26,0,4.46
 36-46,0,0,0,1.23,0,21.89,0,0.72,13.49,0.74,0,0,0,0,0,1.36,0,0,29.87,2.38,9.99,141.18,0,7.83,0.63,0,0,13.52,0,0,0,0,32.74,0,6.45,0,0
 48-58,0,0,0,0,3.17,29.74,0.39,2.6,16.95,0,0,2.27,0,0,0,0,0,0,24.19,1.48,2.72,72.5,0.56,9.39,0,0,0,15.24,0,0,0,0,12.58,0,2.59,0,1.9
 60-70,0,0,0,0,0,29.36,0.67,0,1.36,0,1.71,0,0,0,0,0,0,0,36.3,0,2.83,31.27,0,2.86,1.16,0,0,6.68,0,0,0,0,8.1,1.56,8.44,0,0
 72-82,0,0,0,2.55,0,27.49,0,1.73,10.97,0,0,3.17,0.83,0,1.39,0,0,0,34.78,1.43,2.75,41.67,0,22.51,3.1,0,0,2.34,0,0,0,0,0.7,1.69,10.55,0.81,0
 84-94,0,0,0,1.26,0,6.63,0,0,1.5,0,0,0.85,1.33,0,0,0,0,0,15.07,0.57,0.77,38.67,0.67,6.69,0,0,0,0,0,0.74,0,0,0,0.58,13.79,0,0
 96-106,0,0,0,1.73,0,8.33,0.89,1.63,3.35,0,0,3.47,2.92,0,0,0,0,0,24.06,0,0,18.68,0,31.31,0,0,2.27,2.16,0,0,0,0,1.89,0.89,12.8,0.64,0
108-118,0,0,0,2.77,0,9.37,0,0,5.45,0,0,1.61,1.03,0,0,0,0,0,33,0,0.91,30.21,0,8.75,0,0,0,3.96,0,0,0,0,0,1.13,12.76,0,2.08
120,0,0,0,3.42,0,1.88,2.34,0,3.7,0,0,3.15,0,0,0,0,0,0,21.1,0,9.64,71.9,0,12.54,0,0,5.29,2.97,0,0,0,0,0,0,1.55,0,2.85
