stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,75.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.93,110.06,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,9.92,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,38.36,0,0,4.06,0,0,0,0,0
 10-12,0,0,14.5,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,0,0,0,4.15,0,0,0,0,1.05,0.82,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.72,0,9.46,0,0,0,0.74,0,0,0,1.11
 36-46,0,0,0,0,0,0,0,0,0,0,0.82,0.65,5.7,0,0,0,2.7,0,0,0,0
 48-58,0,0,0,0,0,0.71,0,10.93,0,0,0,0,4.87,0,0,0,0,0,0,4.55,0
 60-70,0,0,0,0,0,0.75,0,0,0,0,2.69,0,13.14,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.77,0,0,0,7.99,6.48,0,6.55,0,0.78,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,10.36,3.31,0,0,0,0,0,0,0,0,0,4.45
 96-106,0,0,0,0,0,0,0,0,0,10.79,4.76,0,0.77,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.21,0,0,0,0.47,14.44,1.59,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.69,0,0,14.8,0,0,0,0,5.18,0,0,0,0,0,0
