stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,68.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0,1.52,0.83,0,0,0,0,0,0,0,0,1.06,0,0,0,0.83,0,0,0,3.31,0.88,1.66,1.99,0,0
 24-34,0,0,0,0.65,0,0,0,0,0,0,0,0.68,0,0,0.75,0,0,0,24.29,0.66,0,0,2.43,0,1.46,5.68,1.66,0.69
 36-46,0,0,0,0,0,0.72,0,0,4.24,0,0.58,0,0,0.91,1.76,0,0,0,18.7,0,1.1,0,1.87,0,0,2.82,0,2.22
 48-58,0,0,0,0,0,9.93,1.6,0.93,8.34,0,0,0,0,0,0.5,0.52,0,0.4,24.71,0,0.85,0,0.4,0,3.23,5.37,0,2.47
 60-70,0,0,0,0.88,0.7,30.04,0,0,2.81,0,0,0,0,0,2.01,0,0,0,38.78,0.75,0,1.03,1.85,0,0.93,4.96,0,0
 72-82,0,0,0,0,1.23,51.2,0,0,2.53,0.51,0,0,0,0,1.41,0,0,0,37.63,0,0,0,1.82,0,0,2.94,0.96,0
 84-94,0,0,0,0.61,4.68,22.29,0,0,0,0.8,0.77,1.18,0.6,0,6.55,0,0,0,16.31,0,0,0,0.57,0,0,1.39,1.14,0
 96-106,0,0.95,0,4.72,0.67,24.8,0,0,5.13,0,0,0.73,0,0,0.84,0,0,0,29.5,0,2.29,0,3.91,0,0,0,0,0
108-118,0,0,0,4.69,0,19.81,0,0,4.28,0.71,1.18,2.71,0,0,7.01,0,0,0,25,1.07,0,0.57,1.93,0,0,0,0.86,0
120,0,0,0,0,0,7.33,0,0,23.76,0,0,0,0,0,19.16,0,8.68,1.28,57.44,0,1.09,0,2.83,0,0,0,0,0
