stage,blastomeres,epidermis,eye,glial,gut,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord,xanthophores
  3-4,58.12,0,0,0,0,0,0,0,0,0,0,0
  5-6,106.52,0,0,0,0,0,0,0,13.43,0,0,0
  7-9,0,0,0,0,0,0,0,51.49,0,0,0,0
 10-12,3.56,0,4.73,0,0,0,0,18.73,20.01,0,0,0
 14-21,0,0,0,0,0,1.07,0,2.74,0,0.95,1.09,0
 24-34,0,0,0,0,0,0.61,0,15.98,0,0,0.75,0
 36-46,0,0,2.48,0,0,0,0,8.13,0,0,2.6,0
 48-58,0,0.42,3.66,0,0,0.88,0,4.32,0,0,1.16,4.47
 60-70,0,0,1.61,0,0,0,0,1.32,0,0,0,0
 72-82,0,0,0,1.98,0,0,1.57,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,6.52,0,0,0,0
108-118,0,0,0,0,0,1.91,0,0,0,0,0,0
120,0,0,0,0,3.02,0,0,0,0,0,0,0
