stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,188.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,154.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,3.45,23.12,0,0,24.41,0,0,0,2.41,0,0,0,0,3.76,0,0,4,0,0,202.7,15.33,4.8,0.88,1.98,0,0,2.4,0,1.03,13.36,31.67,0,0,0,0,0
 24-34,0,0,1.02,13.04,0,0,120.34,0.96,0,0.72,1.45,0.73,3.6,0,0,31.95,0,0,7.63,0,4.62,1111.79,2.54,30.81,5.38,0,0,0,0,2.09,0.7,5.45,126.53,0,0,3.15,0,0
 36-46,0,0,0,10.62,0,0,425.27,14.37,0,0,54.93,0,0.89,0,0,16.58,0,1.15,2.14,0,8.06,1184.73,8.4,31.78,0,0,0,0,0,0,0,0,231.82,0,0,2.4,0,0
 48-58,0,0,0,6.17,0,0,616.93,1.52,2.08,1.06,107.84,0,0,0,0,10.28,0,0,4.09,0,12.49,724.87,6.7,8.19,11.5,0,0,3.67,0,0,0.41,0,181.9,0,0,0,0,2.14
 60-70,0,0,0,9.37,0,0,738.85,2.73,0,0.87,45.23,0,0,0,0,13.11,0,0,4.43,0,9.53,365.11,3.64,8.13,4.11,0,0,0,0,0,0,0,67.63,0,0,1.19,0,2.58
 72-82,0,0,0,14.75,0,0,594.43,2.53,0,0,33.05,3.29,0,0.59,0,7.44,0,0,51.33,0,5,473.22,0,2.87,7.22,0,0,0,0,0,0,0,39.13,0.53,0,0.99,0,4.85
 84-94,0,1.77,0,17.08,0,0,436.13,2.97,0.91,0,17.21,1.73,0,0,0.7,10.32,0.83,0,28.88,0,2.31,375.7,1.4,3.19,1.33,0,0,0.79,0,0,0,0,37.53,0,0.64,0,0,0
 96-106,0,1.79,0,6.98,0,0,477.3,0.71,0.62,0,20.52,3.31,1.61,0,0,17.19,0.59,0,21.78,1.32,5.77,369.61,2.08,2.83,1.69,0,0,0,0,0,0,0,15.12,0.61,0,0,2.34,0
108-118,0,0.85,0,10.08,2.95,0.46,379.53,4.63,0,0,30.98,0,0,0,0,7.62,1.52,0,59.6,3.6,20.79,421.76,3.23,9.49,7.2,0,2.06,1,0,0,0,0,5.05,0,0,0,0,0
120,0,0,0,7.19,0,0,311.62,1.75,2.08,0,23.59,3.46,0,0,0,17.13,0,0,56.75,13.12,9.38,588.82,10.16,32.09,0,0,1.79,0,0,1.13,0,0,10.36,0,0,0,0,0
