stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,285.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.5,291.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.62,0,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.13,0,0,0,18.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.51,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,48.79,0.92,1.58,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,15.48,0,0,0,0,0,0.86,0,0,0.93,0.95,0,0,0,0
 24-34,0,0,0,139.62,0,2.82,0,80.1,0,0,0,0,0,0,1.46,0,6.08,0,0,0,48.2,0,1.25,0.61,0,0,0,2.24,0,0.85,2.33,0,0,0,0
 36-46,0,0,0,99.94,0,4.2,0,375.25,0,0.65,0,0,0,0,0,2.66,15.5,1.53,2.26,0.56,25.84,0.6,0,0,0,9.64,0,1.34,0,1.09,9.67,0,0,0,0
 48-58,0,0,0,141.16,0,13.06,0,278.89,7.02,2.21,0,0,0,0,0,0,52.07,0.37,0.46,4.42,52.39,0,0,0.43,0,0.37,0,0,2.11,0,2.29,0,0,0,13.69
 60-70,0,0,0,110.69,0,7.07,0,131.24,4.26,0.79,0,0,0,0,0,1.82,88.92,1.4,0,7.29,33.75,0,0,0,0,2.4,0,0,0,0,3.41,0,0,0,0
 72-82,0,0,0,101.82,0,14.41,0,104.89,27.99,2.04,0,0,0.87,0.6,2.59,2.82,311.52,1.31,7.86,35.78,27.04,0,0,0,0,0,0,0,0,0,1.2,0,3.95,0.56,5.39
 84-94,0,0,0,252.86,0.98,6.44,0,133.24,15.1,6.24,0,0.71,0,0,0,0,194.98,1.03,2.23,22.54,2.87,0,0,0,0,2.64,0,0,0,0,4.34,0.63,0.78,0,3.59
 96-106,0,0,0,123.09,6.36,6.49,0.64,73.74,3.77,0.64,2.96,0,0,0.56,1.72,0,316.63,0,0,20.95,35.11,0,0,0.78,0,1.34,0,0,0,0,0,1.48,0,0,14.57
108-118,0,0,0,165.75,3.67,14.72,0,106.39,32.1,0.9,0.47,0,0,0.67,0.43,0,353.05,0.93,0,25.99,18.69,0,0,0,0,0,0,0,0,0,1.58,0,0,0,27.88
120,0,0,0,87.73,0,20.31,0,34.47,22.54,6.67,0,0,0,0,0,0,404.55,1.12,11.12,12.91,45.89,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92
