stage,axial,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,neural,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,10.56,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.25,0,0,0,0,0,9.74,0,9.49,0,0,0,0,0
 10-12,0,0,8.78,0,3.45,0,0,0,70.43,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.08,0,0,1.79,0,1.07,0,0
 24-34,0,0,0,0,0,0,0,0.68,8.9,0.62,0,0,0.6,0,1.4,0
 36-46,0,0,0,0,0,0,0,0.61,15.8,0,0,0,0,0,0.56,0
 48-58,0,0,0,0,0,0,0,1.22,2.95,0,0,0,0,0.77,0,0
 60-70,0,0,0,1.57,0,0,0,1.8,7.37,4.57,0,0,0,0,0,0
 72-82,0,0,0,3.22,0,0,0,3.39,17.66,0,0,0,0,0,0,5.57
 84-94,0,0,0,0,0,0.6,0,7.11,17.49,0.96,0,0,0,8.4,0,0
 96-106,0,0,0,0,0,0,0,3,25.77,2.8,0,0,0,0,0,0
108-118,0,0,0,0,2.38,0,0.64,3.44,31.64,0,0,0,0,0,0.43,0
120,0,0,0,0,0,14.62,0,0,38.71,3.85,0,0,0,0,0,0
