stage,eye,glial,mesenchyme,neural,vasculature,visceral.smooth.muscle
  7-9,0,0,0,4.58,0,0
 10-12,0,0,0,20.15,0,0
 14-21,0,0,0,3.09,0,0
 24-34,0,0,0.96,0.96,0,0
 36-46,0,0,0.87,1.54,0,0
 48-58,0,0,0,0,0.61,0
 60-70,0,0,0,3.96,0,0.64
 72-82,0,0,0,0.5,0,0
 96-106,0.61,0.66,0,0,0,0
108-118,0,0,1.6,0,0,0
