stage,endoderm,epidermis,eye,glial,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0
 14-21,0.88,2.04,0,0,0,0,0,0,0,0,2.42,0,0,0,1.03,0.96,0
 24-34,0,0,0.76,0,0,0,0,0.95,0,1.23,5.4,0,0,0,0,4.21,0
 36-46,0,0,1.87,2.14,0,0,0,0,0,0.63,12.4,0,0,0,0,1.89,0
 48-58,0,0,1.49,0,0,0,0,0,0.79,0,5.32,0,0,0,0,11.31,0
 60-70,0,1.71,12.13,9.8,0,0,0,0,0,1.18,4.25,0,0,0,0,1.91,0
 72-82,0,0,2.21,1.35,0,0,0,0,1.57,0,0,0,0,0,0,0,0
 84-94,0,1.76,4.48,0,2.09,0,0.86,0,0.76,0,5.53,0,0.81,0,0,0,0
 96-106,0,0,0.57,1.58,0,0,0,0,3.06,0,0,0,0,1.08,0,2.89,1.9
108-118,0,0,3.7,1.39,0,0.65,0,0,10.16,0,2.49,0,0,0,0,0,1.39
120,0,0,6.57,1.41,0,0,0,0,13.33,0,0,1.62,0,0,0,0,0
