stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,47.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.97,0,8.06,0,0,0
 10-12,0,9.58,0,0,0,0,0,0,0,0,7.69,11.66,15,0,0,0
 14-21,0,0,0,0.97,0,0,0,0,0,0,21.18,3.87,4.09,0,0,4.67
 24-34,0,0,1.23,0,0,0,0,0,1.38,0,182.79,0.69,0,0,0,22.43
 36-46,0,0,0,0,0.57,4.71,0,0,0,2.23,283.35,0,0,0,0,51.66
 48-58,0,0,0,16.52,0,13.08,0,0,4.71,0.38,257.11,0,0,0.47,0,66.65
 60-70,0,0,0,7.5,0.77,4.34,0,0.71,5.25,0,128.5,0,0,0,0,58.32
 72-82,0,0,0,0.61,1.1,2.7,0,0,0,0,37.23,0,0,0,0.97,10.07
 84-94,0,0,0,3.63,0,1.07,0,0,0.57,0,61.88,0,0,0,0,8.08
 96-106,0,0,0,2.05,0,5.66,0,0,0,0,36.2,0,0,0,0,11.96
108-118,0,0,0,5.32,1.27,1.12,0.51,0,0,0,24.73,0,0,0,0,0
120,0,0,0,3.08,0,0,0,0,0,0,49.67,0,0,0,0,0
