stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,30.35,379.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.95,472.94,0,0,0,0,0,0,0,0,0,0,0,0,20.33,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,20.02,0,0,0,0,0,0,0,0,158.23,7.18,0,0,73.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.63,20.97,0,0,13.65,0,0,0,0,0,0,0,0,255.48,0,0,0,140.6,0,0,0,3.98,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,1.61,0,0,0,2.77,0,0,1.78,26.31,0,0,0,0,0,0,2.16,0,0,0.88,2.87,0,0,0
 24-34,0,0,0,0,0,4.13,0.7,0,0,0,2.83,0,0,2.15,70.36,0,0,0,0,0,1.81,0,0,0.78,0,26.78,0,0.63,0
 36-46,0,0,0,0,0,3.6,2.54,0,0,0,7.68,0,0,0.66,64.39,0,0,0.72,0,0,21.65,0,0,0,0,13.19,0,0,0
 48-58,0,0,0,0,0,12.4,0.49,0,0,0,1.39,0,0,1.28,21.83,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
 60-70,0,0,0,0,0,17.75,0.58,0,0,0,2.42,0,0,0,27.82,0,0,0,0,0,0,0,0,0,0,1.76,0.61,1.24,0
 72-82,0,0,0,2.14,0,14.6,0.64,0,0,0,4.74,0,0,0,21.39,0,0,0,0,0,3.99,0,0,0,0,0.87,0,0,2.54
 84-94,0,0,0,0,0.89,6.9,2.93,0,0,0,4.67,0,0,0.75,17.68,0,3.4,0,0,5.27,1.66,0,0,0,0,0.59,0,0,0
 96-106,0,0,0,0,2.88,10.83,1.29,0.99,0,0.82,4.56,0,0,0,7.37,0,6.25,0,0,0,1.54,0,0,0,0,1.89,0,0,0
108-118,0,0,0,0,0.49,13.1,3.01,0,0.75,0,1.57,0.54,0,0,25.24,0,0.47,0,0,1.52,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,17.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
