stage,erythrocytes,eye,immune,iridophores,liver,mesenchyme,neural
 14-21,0,0,0,0,0,0,0.86
 36-46,0,1.33,0,0,0,0,0
 48-58,0,0,0,0,0,0,3.93
 60-70,0,48.23,0,0,0,0,0
 72-82,0,95.68,5.65,0,0,0,0.69
 84-94,0,133.22,0,0,0,0,0
 96-106,0,211.58,0,0,0,0,2.39
108-118,0.65,214.64,0,1.65,5.32,1.93,0
120,0,483.04,0,0,0,0,0
