stage,axial,blastomeres,endoderm,neural,notochord,paraxial.mesoderm,periderm,pgc
  3-4,16.49,323.34,0,0,0,0,16.78,0
  5-6,0,37.27,0,0,0,0,0,0
  7-9,0,0,5.17,14.75,0,0,0,0
 10-12,0,11.36,0,58.66,3.95,3.38,0,6.03
