stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,10.06,218.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0
  5-6,40.92,637.22,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,38.62,0,0,0,0,0,21.99,0,0,0,0,0,0,0,0
  7-9,45.14,15.39,13.13,0,0,44.34,0,0,0,0,17.12,0,0,0,0,0,0,407.81,3.6,0,0,50.67,0,4.29,4.25,0,0,0,0,0,0,0
 10-12,4.89,16.09,25.99,0,0,13.13,0,0,0,0,21.18,0,0,0,0,0,0,120.45,0,0,0,73.03,0,0,0,0,8.2,0,0,0,0,0
 14-21,0,0,4.71,18.56,2.97,1.04,0,0,0,1.91,0,0,0,0.97,3.38,0,1.68,37.78,0,1.54,0.93,4.56,0,5.49,0,21.11,1.44,0,6.91,9.01,0,0
 24-34,0,0,0,4.14,0,0,0,0,0,0,0,1.23,0.63,0,3.56,0,2.4,25.09,0,2.66,5.69,0,0,17.62,0,0,0,0,2.04,7.7,1.33,0
 36-46,0,0,0,0,0,1.54,0,0,1.94,0,0,0,0,0,5.34,0.68,0.6,31.66,0,3.57,0.77,0,0,1.97,0,0,0,0,0,3.77,0,0
 48-58,0,0,1.75,1.53,0,3.05,0,0,2.91,0,0,0,0,0,0.48,0,0.44,12.57,0,3.52,0,0,0,1.05,0,0,0,0,0,0.81,0,0
 60-70,0,0,0,1.62,0,8.25,0,0,0,0,0,0,0,0,0.83,0,0.77,41.66,0,0,0,0,0,1.82,0,0,0,0,0,5.22,0,3.58
 72-82,0,0,0,0.5,0,6.69,0,0.94,4.01,0,0,0,0.64,0,3.03,0,0.8,25.65,0,0,0,0,0,0,0,0,0,2.68,0,8.19,0,0
 84-94,0,0,0,1.04,0,1.01,0,2.16,0,0,0,0,0,0,8.27,0,0,21.36,0,0,0,0,0,5.09,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.01,0,1.54,0.89,0.6,0,0.79,0,0,0,0,3.54,0,0,1.24,0,0,0,0,0,1.89,0,0,0,0,0,2.15,2.1,0
108-118,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0.9,0,0,0,11.73,0,0,0,0,0.89,1.86,0,0,0,0,0,0,0.86,0
120,0,0,0,1.72,0,0,0,0,0,0,0,0,3.15,0,0,1.63,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
