stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,lateral_line,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  5-6,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.44,0,0,1.13
 24-34,0,0,0,0,0,0,0,0,0,0,17.16,0,0,3.16
 36-46,0,0,0,6.17,0,0,0,0,1.37,0,36.77,0,0,9.26
 48-58,0,0,0,22.77,2.09,0,0,0,1.33,0,56.1,0,0,7.49
 60-70,0,0,0,22.97,1.02,0,0,0,2.29,0.8,27.84,0,0,2.55
 72-82,0,0.69,0,4.26,1.31,0,0,0,3.06,0,11.54,0,0,0
 84-94,0,0,0,0.57,0,1.34,0,0,0,0,17.32,0,0,0
 96-106,0,0,1.03,10.3,0,8.34,0,0.93,0,1.15,1.61,0,0,0
108-118,0,1.57,1.02,9.75,0,14.34,0.98,1.31,1.13,3.29,9.18,0,0,0
120,0,0,6.67,0,0,21.14,0,10.03,0,0,20,0,2.05,0
