stage,axial,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.66,0,0,0,0
  7-9,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.19,0,0,0,0
 10-12,0,12.71,0,0,0,0,3.05,0,0,0,0,0,0,13.8,5.34,21.16,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.92,0,0,0.89,2.17,1.16,12.29,0,619.26,1.88,1.7,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0,64.95,0,0,0.73,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,9.84,0,0,0,1.34
 48-58,0,0,0.38,0,0,0,0,0,0,0,0,0,0,3.24,0,0.53,0,0,0,0
 60-70,0,0,1.03,0,3.97,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0
 72-82,0,0,2.28,0,1.59,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0
 84-94,0,0,9.1,3.1,4.11,0,0,0,0,0,0,0,0,0.58,0,0.63,0,0,0,0
 96-106,0,0,10.56,0,9.31,1.71,0,0,0,1.22,0,0,0,7.43,0,12.85,0,0,0,0
108-118,0,0,7.26,0.57,0.89,0,0,0,2.7,0,0,0,0,0,0,5.99,0,0,0,3.68
120,0,0,6.76,0,0,0,0,0,0,0,0,0,0,3.95,0,13.97,0,0,0,0
