stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0
 14-21,0,0,0,0.89,0,0,0,0,0,0,38.01,0,0,0,0.99,0,0,0,3.19,1.18,0,0,1.14,3.57,4.7,0,0
 24-34,0,0.66,0,1.43,0,0,0,0,0,0,12.15,0,0,2.18,0,0.73,0,0,22.27,0,0,0,0,12.31,3.14,5.54,0
 36-46,0,0,0,1.7,0,0,2.25,0,0,0,0.59,0,0,0,2.7,0,0,0,69.9,0,0,0,0,13.86,4.56,0,0
 48-58,0,1.43,0,7.79,0,1.48,4.71,0,0,0,4.13,0,0,0,28.5,0,0,3.58,63.45,0,0,0,0,13.98,7.09,0,0
 60-70,0,3.28,0,8.68,0,0,14.34,0,0,0,1.89,0,0,0,50.89,0,0,1.01,80.99,0,0,0,0,6.33,11.17,1.43,0
 72-82,0,1.44,2.27,13.18,0,0,31.58,0,0,0.7,12.93,4.38,0,0,79.76,3.53,0,0.74,153.8,0,0,0,0.67,6.37,12.12,2.81,0.55
 84-94,0,9.6,0,19.08,0,1.36,28.45,0,0,0,9.53,0.82,0,0,50.32,0,0.66,0,154.91,0,0,0,3.19,4.57,8.94,8.94,0
 96-106,0,6.62,0,2.93,0,1.02,49.62,1.62,0,0,7.47,0.66,0,0,60.62,0,0,2.68,173.38,0,0,0,0,0,14.14,0.71,0
108-118,0,20.48,0,6.06,0.96,0,56.69,1.1,0,0,2.99,0,0,0,86,2.81,0,5.09,231.1,0,2.07,0,0.55,3.27,9.1,0,0
120,0,28.3,0,5.74,0,0,28.43,3.49,0,3.24,2.5,4.95,3.21,0,118.97,0,0,3.6,415.22,0,6.24,0,0,15.44,4.48,0,0
