stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.63,17.93,0,0,42.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.67,0,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.78,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0,0,6.61,7.12,5.33,0,0.86,0,0,1.35,0.83,1.28,0,12.33,0,0,2.9,0,0
 24-34,0,0,0,5.51,0,1.24,0,2.98,0,0,0,0,2.01,3.04,2.54,0,0,0,8.84,0.84,0,5.76,20.27,0.6,0.76,0,0,0,15.47,0,0.88,0,2.59,0,0,15.99,0,0
 36-46,0,0,0,5.59,0,2.31,0,0,0,0,0,0,2.09,1.07,0,0,0.6,0,10.47,2.15,0,4.32,18.27,0,3.06,0.61,0,0,9.1,0,0,0,2.03,0,0,8.23,0,0
 48-58,0,0,0,4.92,0,1.4,0,0,1.11,4.87,0,0.93,0.65,1.46,0,0,1,0,22.3,0,6.67,3.02,18.24,0.49,1.05,0,0,0.4,1.47,0,5.13,0,3.6,0,0,16.11,0,0.44
 60-70,0,10.91,0,1.95,0,5.43,0,5.77,0,17.21,2.29,0,0.6,6.72,0,0,2.46,1.34,17.91,0,0,2.4,22.18,0,1.19,0,0,0.96,3.09,0,0,0,2.17,0,0.63,12.67,0,0
 72-82,0,1.92,0,4.44,0,18,0,0.71,0,22.03,17.86,0,2.21,9.5,0,0,2.23,18.99,41.79,2.31,7.59,2.75,32.54,0,0.73,3.93,0,1.4,0.67,0,0.75,0,3.49,0,0,25.77,0,0
 84-94,0,0.81,0,7.83,0,11.54,0,3.28,0,22.59,31.13,0,0,10.69,0,0,0,59.99,50.63,0,3.09,1.33,14.37,0,4.1,0,0,0,2.95,0,3.12,0,0,0,0,25.19,1.78,0
 96-106,0,3.41,0,6.41,9.51,34.12,0,2.81,2.43,28.69,97.43,0,0,11.76,0.89,0.57,1.99,267.28,35.55,0,6.82,1.63,79.23,0,6.26,2.28,0,2.4,14.92,0,13.51,0,13.17,2.38,0,44.6,1.78,1.48
108-118,0,0,0.74,5.45,0,13.66,0.44,4.16,1.02,30.17,91.05,0,0,11.01,2.68,2.16,1.64,293.18,46.96,3.43,4.07,4.8,64.94,0.56,1.08,1.76,0,9.4,4.14,0,12.73,0,9.53,2.45,1.23,20.46,1.45,0
120,0,0,0,3.22,0,2.59,0,0,0,12.48,53.05,0,0,15.61,1.07,0,1.76,224.95,24.97,0,0,0,46.16,0,1.49,3.16,0,0,1.13,0,2.29,2.07,0,0,0,9.4,0,0
