stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,499.88,10694.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,1027.12,16421.82,57.97,0,0,0,0,0,0,0,0,0,90.35,0,0,0,0,0,0,0,0,0,0,0,454.91,17.44,0,0,206.66,0,191.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,262.88,249.65,628.27,0,0,0,969.51,0,0,0,0,0,326.53,0,0,0,0,0,0,0,0,0,0,0,8789.46,302.48,0,0,3258.41,0,17.13,94.33,0,12.83,0,0,0,0,0,0,0,0
 10-12,0,151.34,287.52,0,46.92,0,374.79,0,0,0,0,0,84.59,0,0,0,0,0,0,0,0,0,0,0,3614.94,44.97,0,0,1465.54,0,13.75,31.14,8.32,199.23,0,5.41,3.28,0,0,0,0,0
 14-21,0.93,0,28.81,170.55,48.2,0,63.68,0,0,0,17.02,8.31,1.62,1.01,0,2.89,0,0,0,0,104.72,0,0,93.31,1107.36,27.27,5.19,10.51,65.51,0,77.97,0,195.47,10.32,0.95,105.5,360.33,0,0,8.04,0,0
 24-34,0,0,2.92,60.74,17.85,0,174.62,0,0,0.61,37.68,4.86,0.67,3.62,4,1.15,5.03,1.68,2.41,0,165.76,2.1,0,71.04,1625.98,14.71,18.07,14.2,0,0,126.36,0,0.97,4.27,0,13.2,426.74,0,0,45.64,0,4.92
 36-46,0,0,0.87,30.42,6.06,0,576.36,0,0,0.72,27.23,3.08,0,0,2.3,9.55,0,1.31,1.74,2.91,172.19,0,3.4,72.66,1219.84,3.98,5.97,6.26,0,0,68.05,0,0,6.54,0,0,295.03,0,0,29.01,0,10.66
 48-58,0,0,0,43.53,11.18,0,695.69,0,0.78,1.56,53.51,5.4,0,2.68,7,13.84,17.33,1.54,1.11,0,183.26,6.55,17.56,39.74,739.99,4.91,3.62,11.86,0,0.64,20.88,0,0,0.68,0,0,125.78,0,0,27.82,0,25.53
 60-70,0,0,0,57.38,5.76,0,481.68,2.88,0,8.07,28.79,3.48,0,5.48,5.61,26.18,0.66,4.61,0,0,122.92,1.43,23.69,31.2,381.16,1.92,0,1.86,0,0,9.28,0,0,2.35,0,0,28.16,0,0,15.16,0.85,0
 72-82,0,0,0,40.9,4.07,0,156.85,0.55,0,1.73,53.04,9.4,0,1.8,2.41,7.4,1.36,0.86,1.57,0,138.85,1.44,19.98,21.08,195.94,0.55,5,3.87,0,3.03,16.6,0,0,0.77,0,0,4.92,0,0.5,28.29,0,1.73
 84-94,0,0,0,31.88,9.26,0,95.3,0,0,0,33.48,10.12,0,0,3.36,1.3,2.51,0,0.6,0,86.12,0,21.98,20.28,249.54,3.52,1.68,15.79,0,0,14.72,0,0,1.35,0,0,4.64,3.79,0,23.26,0,0
 96-106,0,0,1.03,25.5,7.16,0,144.53,0,1.29,0,44.66,11.79,0,4.43,3.04,0,0.92,1.11,4.14,0,74.66,0,2.32,7.16,145.75,1.99,1.09,5.1,0,1.44,8.52,0,0,3.35,0,0,2.75,0,0,24.33,0,1.22
108-118,0,0,0.74,18.7,11.6,4.34,110.32,0,0,0.84,55.99,7.39,0,1.95,8.83,0.44,2.92,0,2.71,0,41.95,0,8.66,20.21,211.6,0,3.33,3.3,0,3.72,9.8,0,0,2.5,0,0,2.92,3.92,0,5.88,0,0
120,0,0,0,19.51,5.04,0,135.02,0,0,0,23.15,1.09,0,0,8.04,1.32,14.37,0,0,0,62.32,0,2.08,14.13,298.89,2.06,0,8.32,0,0,6.33,0,0,0,0,0,23.96,1.65,0,6.52,0,0
