stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,317.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0
  5-6,96.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,6.49,0,0,0,0,0,0,0
  7-9,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,28.23,0,0,0,8.86,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,35.22,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,65.36,0,0,0,0,0,0,0.81,0,0.82,0,0,0
 24-34,0,0.61,0,2.64,0,0,2.91,0,0,0,0.6,0,0,0,10.95,0,0.64,61.03,4.58,0,0,0,0,0,0,1.01,1.55,0,0.65,0
 36-46,0,0,0,1.06,0,0.63,5.77,0,0,0,0,0,0,4.99,0.77,0,0,76.38,9.47,0,1.39,0,0,0,0,0,1.83,0,0,0
 48-58,0,0,0,0,0,0,7.7,0,3.2,0,0.55,0,0,4.19,4.4,0,2.8,49.93,7.83,0,3.13,0,0.5,0,0,0,1.54,0,1.23,0
 60-70,0,0,0,5.93,1.31,0,16.94,0,1.09,0,0,1.28,0,8.07,22.72,0,0.6,27.1,4.03,0,1.67,0,0,0,0,0,0,0,0,4.49
 72-82,0,0.91,0,11.06,0,1.68,166.79,0.57,0.68,0,0,0,0.96,0,60.33,0,1.64,31.32,2.82,1.28,0.66,0,0,0,0,0,0,1.36,0,0
 84-94,0,0,0,5.65,0,0,112.43,0.57,0,0,0,0.62,0,6.24,93.57,1.31,0,42.55,6.66,0,3.95,0,0,0,0,0,1.83,0,2.7,3.76
 96-106,0,1.88,1.64,11.74,0.57,0,270.22,0.69,0,0.72,0.66,2.13,0,12.62,78.45,0,0,44.94,2.55,0,9.59,0,0.84,0,0,0,0,0,1.21,4.17
108-118,0,0,0,3.74,1.41,0,241.27,0.99,0,0,0,2.81,0,12.18,73.74,0,2.97,33.43,8.2,0,9.85,0,0,0,0,0,0,0,0.59,0
120,0,1.05,0,5.68,0,0,322.63,0,0,0,0,1.87,0,4.69,168.91,0,1.62,37.61,16.08,0,4.36,0,0,1.53,0,0,0,0,1.95,0
