stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,3.41,0,0,0,0,0,0,0,0,0,2331.61,0,0,0.92,0,0,5.19,0,0,0,19.42,0.84,1.55,0,0,4.09,5.56,0,0,0,8.32,0,0,0,0,0
 24-34,0,0,1.39,55.6,39.78,0,102.22,0,6.24,0.99,21.95,0.67,0,13.31,23955.95,3.99,3.59,3.68,6.7,3.62,87.03,2.73,0,152.81,1218.45,17.16,13.44,11.28,0,112.75,0,1.96,0,3.64,119.88,0,0,36.63,0,8.44
 36-46,0,0,0,31.27,1.25,0,151.84,5.66,7.18,4.76,41.26,0.82,0,2.64,67972.91,9.13,1.22,1.15,1.71,11.38,93.11,2.03,1.94,28.89,1113.36,16.3,8.77,1.35,0,89.84,1.63,9.35,81.08,0.88,293.88,0,0,59.68,0,29.4
 48-58,0,0,0,36.52,599.26,0,512.17,1.02,40.34,4.95,113.93,0.84,1.52,2.76,69369.68,0,6.5,0.41,19.79,5.31,188.1,16.46,2.76,27.92,1659.25,17.4,4.76,8.64,0.47,45.19,0,1.67,4.37,0,318.12,0,0.79,22.61,0,89.88
 60-70,0,0,0,36.64,7.28,0,359.01,2.57,4.18,8.41,81.43,0.85,0,2.38,50112.08,0.93,6.73,0,5.1,19.35,87.11,0,3.67,18.19,953.4,8.49,3.83,0,1.08,33.52,0,0.62,1.58,0,104.9,0,0.9,7.75,0,71.85
 72-82,0,3.03,0,25.74,19.48,3.14,443.95,0,9.75,133.43,117.84,5.68,0,16.63,39648.18,0.63,6.75,5.63,16.14,1.03,156.99,7.11,7.74,15.1,1253.36,1.57,8.02,5.25,1.4,48.05,0,28.02,4.49,0,76.19,8.7,5.71,24.29,6.47,53.74
 84-94,0,2.82,0,22.02,26.6,0,373.27,13.94,8.98,7.1,74.62,11.95,0.71,0,72593.18,4.67,10.53,1.03,12.47,1.76,395.65,6.52,2.14,17.39,782.71,5.9,19.49,2.22,4.76,87.77,0,0,1.43,0,80.02,11.53,11.15,21.24,7.49,25.44
 96-106,0,0,2.01,104.29,214.4,18.2,628.85,3.29,27.67,8.29,164.22,229.07,0,16.02,63608.45,1.72,18.57,11.09,35.2,0,259.37,7.14,10.86,32.42,1105.45,0,16.32,20.59,4.9,200.65,0,5.27,0.68,0,56.91,31.88,6.77,64.06,19.43,28.43
108-118,0,8.81,0,97.71,112.81,34.81,577.79,1.67,11.3,14.94,163.19,67.59,0,1.61,65377.03,4.25,20.54,3.29,91.25,10.2,406.04,2.65,35.91,33.14,1084.88,9.08,23.44,19.5,6.57,92.08,0,0.82,0.47,0,32.77,64.81,10.67,48.4,12.13,20.01
120,0,2.96,0,445.97,56.69,56.03,398.43,260.53,12.85,8.78,196.14,24.53,0,0,68099.52,0,14.91,87.56,197.16,0,323.18,16.66,12.63,36.27,2286.62,20.19,4.31,75.87,2.76,138.41,0,2.05,3.21,0,12.11,68.5,105.18,24.43,32.08,200.67
