stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,immune,liver,mesenchyme,neural,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,19.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,0,0,0,0,0,0,95.43,10.12,0,0,0,0
 10-12,5.3,0,0,0,0,3.53,0,0,0,111.45,61.46,0,0,0,0
 14-21,0,1.93,0,0,0,0,0,0,0,1.81,0,1.12,0.83,1.58,1.51
 24-34,0,0,0,0.93,0,0,0,0,0,1.4,0,0,0,0,2.83
 36-46,0,0,0,0,0,0,0,0,0.74,3.08,0,0,0,0,2.38
 48-58,0,0,0,0,0,0,0,4.53,0,3.7,0,0,0,0,2.05
 72-82,0,0,2.89,0,0,0,0.49,0,0.61,0,0,0,0,0,1.25
 96-106,0,0,0,0,0.65,0,1.25,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,9.08,0,0,0,0,0,0,0,0
