stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.23,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,0,0,0,0,0,0,0,0,0,0
 10-12,5.71,0,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,7.69,2.81,0,0,0,15.48,0,1.8,0,0,0
 24-34,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,38.1,0.87,0,0,0,11.48,0.65,11.7,0,0,0
 36-46,0,0,0,0.56,0,0,3.03,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,63.96,0,0.81,0.81,0,26.33,0,13.74,0.62,0,0
 48-58,0,0,0,0,0,0,16.21,0,0,1.05,0,0,0,0,0,0,0,0,0,0.84,0,191.12,1,0,0,0,3.98,0,15.76,0,0,0
 60-70,0,0,0,0,0,0,106.63,0.69,0,4.27,0,0,0,0,0,0,0,4.94,0,0,0,270.24,0.66,1.17,1.97,0,0,0,14.53,0,0,3.21
 72-82,0,0.64,0,0.75,0,0,234.56,0,6.78,5.67,0,0.66,0,2.2,0,0,0,3.1,0,1.12,0.51,510.64,0,0,0.95,0,1.16,0,28.49,0,0,0
 84-94,0,0,0,2.33,0,0,185.84,0,0.65,5.9,0,0,0.67,0,0.65,0,0,5.07,0,7.32,0,316.47,0,0,7.2,0,0,0,17.99,0,0.6,0
 96-106,0,0,0,4.75,1.14,0,133.04,0,0,6.15,0,0,0,0,0,8.43,0,11.85,0,0,0,411.16,0,0,1.8,0,1.33,0,7.07,0,3.51,0
108-118,0,0,0,1.57,0,0.55,171.81,0,0,11.13,0.43,0,0,1.63,1.43,0,3.5,10.24,0,12.41,0,572.39,0,0,0.73,0,2.7,0,15.49,0.99,0,0
120,0,0,0,16.8,0,0,352.48,0,0,67.47,0,0,0,0,1.15,0,0,15.8,1.56,1.26,3.28,971.82,0,0,1.66,2.54,1.05,0,30.07,0,1.59,2.85
