stage,erythrocytes,eye,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,1.01,0,0,0,0,0,0,0
 24-34,5.24,0,0,0.68,0.62,0,1.5,4.12,0,0,0,7.34
 36-46,0,0,0,0,1.3,0,0,0,0,0,0,10.59
 48-58,0,0,1.3,0,0,0,0,0,0,0,0,14.02
 60-70,0,2.16,0,0,0.73,2.11,0,2.09,0,2.85,0,34.75
 72-82,0,1.78,0,0,1,0,0,0,0,0,0.56,9.38
 84-94,0,0,0,0,1.03,0,0,9.02,0,0,0,46.12
 96-106,0,0,0,0,0,0,0,4.18,1.54,0,0,18.71
108-118,0,0,0,0,1.5,0,0,0,0,0,0,15.06
120,0,14.88,0,0,15.06,0,0,5.38,0,0,0,41.64
