stage,epidermis,eye,neural,olfactory,spinal_cord
 36-46,0,0,0.69,2.18,0
 48-58,0,0,3.67,0,0
 60-70,0.68,0,8.18,0,0
 72-82,1.84,5.94,7.08,1.22,0
 84-94,0,0,4.39,0,1.19
 96-106,0,0,0.96,0,0
108-118,0,8.86,1.22,0,0
120,0,2.43,8.87,0,0
