stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,17.59,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,42.72,12.18,0,0,6.28,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.26,11.31,0,0,0,0,0,0,0,0,10.06,0,0,1.66,0,0,0,0,0,0,0,9.53,7.6,0.97,0,0,0,0,0.84,1.41,0,0.95,5.68,9.38,0,0,0,0,0
 24-34,0,0,8.98,0,0,10.1,0,0.61,0,1.29,0,0,0,0,4.06,0,0,0,1.19,7.73,0.81,0,3.29,38.79,1.6,0,0.62,0,0,8.56,0,0,3.19,1.26,22.64,0,0,5.95,0,12.6
 36-46,0,0,14.17,0,0,10.01,0,6.42,2.07,2.16,0,0,0,2.77,2.82,0,0,0,0,7.98,0.6,0,5.22,79.98,1.72,0,2.77,0,0,19.76,0,0,8.74,0,39.33,0,0,4.25,0,0
 48-58,0,0,7.85,0,0,3.37,0,0.4,0.47,8.97,0,0,0,0,0,0.39,1.48,0,0.97,24.39,0.47,0,14.33,74.7,2.87,1.28,0.42,0,0,3.99,0,0,2.62,0,26.77,0,0,1.82,0,2.46
 60-70,0,0,8.83,0,0,51.52,1.41,0,0,33.71,0,0,0.93,0,0.71,0,0,0,0,31.41,0,0,1,123.21,9.49,0,1.33,0,0,26.95,0,0,0,0,39.55,0,0,1.31,0,8.24
 72-82,0,0,0,7.78,0,71.15,1.5,0,3.84,20.08,0,0,0,1.88,0,0.59,0,0,2.9,32.74,0.73,0,2.37,158.14,0,0,2.46,0,0,2.36,0,0,0,0,16.88,2.26,0.72,9.65,0,9.26
 84-94,0,0,6.45,8.74,0,100.15,0.98,2.31,0,19.07,3.06,0,0,2.21,1.63,1.25,0,0,4.25,36.78,0,1.87,3.2,119.1,0,0,1.2,0,0,29.98,0,0,0,0,25.1,1.21,0,4.86,2.62,3.26
 96-106,0,0,10.15,4.38,0.59,89.3,0,1.2,3.4,33.82,0,0,0,1.04,0.81,0.99,7.13,1.56,3.66,30,8.13,0,2.83,58.71,0,0,6.16,0,0,11.32,0,0,0,0,5.33,1.68,0,9.22,2.24,0
108-118,0,0,23.09,6.02,11.1,39.51,0.64,1.7,0,17.05,3.04,0,0.51,3.04,1.45,9.74,3.15,1.79,6.54,32.42,0,3.89,7.75,114.07,0.57,1.13,7.31,0,0,20.27,0,0,1.87,0,0,2.73,0,3.1,0,6.6
120,0,0,5.63,0,0,36.96,5.08,2.35,0,55.12,11.02,0,0,0,0,3.65,0,0,3.24,29.72,1.31,0,1.24,193.27,7.66,2,6.16,0,18.29,14.74,0,3.24,1.64,0,24.49,0,0,2.97,0,0
