stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste
  5-6,23.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,21.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,3.07,0,0,0
 14-21,0,0,0,0,0,0,0,1.5,0,0,0,0,0.96,0,0,0,1.16,0,0,2.31,1.08,0,0,21.33,0.91,0,0
 24-34,0,0,1.2,0,0.91,0,0,0,0,0,0,0,1.47,0,1.48,0,4.92,0.61,0,37.03,7.45,0,0,128.57,0,1.5,0
 36-46,0,0,0.84,0,0,0,0,0,0,1.36,0,0,1.15,0,0,0,0,0,0,59.98,7.2,0,0,168.62,0,1.98,0
 48-58,0,0,1.87,0,1.75,0,0,0,0,3.14,0,0,2.68,0,0,0,4.47,2.48,3.87,74.17,3.11,0,0,130.77,0,1.64,0
 60-70,0,0,1.17,0,9.63,4.7,0,0,0,4,0,0,0,0,1.16,0,1.93,1.47,0,75.54,4.11,0,0,99.86,0,1.94,0
 72-82,0,0,4.18,0,5.7,3.26,0,0,1.27,1.04,0,0,0.78,0,2.21,0,3.97,8.49,0,72.81,2.68,2,0,67.69,0,0,9.51
 84-94,0,1.26,6.83,0,4.97,1.69,1.02,0,1.45,8.57,0,0,2.07,0,2.45,0,1.22,0.65,0,71.94,1.96,4.16,0,219.68,0,0.75,26.94
 96-106,0,0,18.73,0,5.59,2.28,0,1.6,2.98,0,3.1,0.58,2.87,0,5.76,17.87,1.38,2.27,0,31.12,3.56,3.81,0,190.74,0,0,85.06
108-118,0,0,17.46,0,0,0,0,0.79,0,0,0,0,2.06,0,6.96,0,1.59,1.18,0,36.07,7.41,3,0,137.33,0,0,87.92
120,0,0,34.58,1.8,7.18,3.28,0,0,0,0,0,0,0,6.33,11.4,0,8.1,3.68,0,63.68,9.18,2.71,0,127.33,0,0,52.5
