stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,24.62,1270.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.68,0,0,0,0,0,0,0,0
  5-6,52.63,1165.76,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,54.32,0,0,0,17.41,0,16.91,0,0,0,0,0,0,0,0
  7-9,0,43.28,78.62,0,0,63.54,0,0,0,0,50.46,0,0,0,0,0,0,0,0,0,0,0,761.33,10.34,0,0,336.65,0,4.29,0,0,0,0,0,0,0,0
 10-12,0,21.35,47.49,0,10.86,42.85,0,0,0,0,12.21,0,0,0,0,0,0,0,0,0,0,0,521.55,18.65,0,0,159.7,0,4.52,5.33,12.52,13.09,0,0,0,0,0
 14-21,0,0,0,2.76,2.22,1.89,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,1.04,61.97,1.61,0,1.29,0,0,0,0,0,3.55,6.05,0,0,0,0
 24-34,0,0,0,0.77,3.53,22.75,0,0,0,0,0,0,1.27,0,0.93,0,0,0,15.99,0,0,6.24,267.42,0,0.77,0,0,0,5.92,0,0,3.21,49.43,0,0,1.44,0
 36-46,0,0,0.59,7.24,0,26.16,0,0,10.76,0.56,0,0,1.15,0,0,0,0,0,17.8,0,0,3.67,247.44,0,1.09,0.72,0,0,28.66,0,0.89,0,33.76,0,0,0.73,2.07
 48-58,0,0,0,7.62,0,49.43,0,0.48,20.58,1.92,0,0,5.96,5.54,0,0.94,3.02,0,38.56,0.63,2.11,5.83,150.47,7.89,0,0.48,0,0,4.7,0,0.43,0,18.74,0,0,4.48,4.97
 60-70,0,0,0,10.1,0,45.91,0.64,1.17,25,11.13,0,0,13.59,4.97,2.01,2.21,9.45,0,47.66,0,0.94,1.45,172.23,0,0,1.67,0,0,4.76,0,0,0,3.44,0,0,1.54,0
 72-82,0,0,0,5.96,3.16,21.84,0,3.65,17.91,1.4,0,1.52,4.64,0.59,2.18,0,0,1.79,31.2,0,3.73,4.32,87.97,0,0,5.58,0,0.84,0.55,0,0,0,0.61,1.38,0,5.03,0
 84-94,0.62,0,0,9.53,4.46,31.87,0,0,24.01,2.33,0,0,11.92,1.17,0,0,0,1.11,21.93,2.4,1.67,1.41,55.35,0,1.04,3.8,0,0,2.69,0,2.95,0,0,0,0.71,4.73,0
 96-106,0,0,0,2.82,1.13,15.29,0,0,10.28,1.63,0,0.77,7.48,0,0.72,0,0,0,28.11,0,0.79,0.74,49.78,0,0.59,0.65,0,0,4.94,0,0,0,4.74,0,0,6.18,0
108-118,0,0,0,11.1,2.93,17.11,1.05,1.9,16.8,3.38,0,0,6.36,0.81,2.29,1.89,2.53,0,21.78,2.75,4.21,0.52,82.17,0,0.5,0,0,0,5.46,0,0,0,0,0,0,2.9,0
120,0,0,0,3.85,7.07,25.79,0,0,54.18,1.32,0,0,5.67,0,0,0,0,0,32.82,0,0,6.46,97.08,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0
