stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.48,0,0,0,0
  5-6,11.85,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,168.33,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94,0,0,6.54,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,112.06,0,14.87,0,0,0,0,0
 14-21,0,0,0,0,0,3.17,0,0,0,0,0,0,0,0,26.47,0,0,0,0,1.3,0.9,0,0,1.67,1.15,3.3,0,0
 24-34,0,0,0,0.61,0,2.78,0,0,0,0,4.08,0,0,0,29.86,0,0.7,0,0,0.77,3.01,0,0,0.67,0.76,0.93,0,0
 36-46,0,0,0,3.6,0,0,0,1.75,0,0,3.06,0,0,0,35.65,0,2.39,0,0,0,6.86,0,0,0,0,2.15,0,0
 48-58,0,0,0,0.61,0,0,0,1.83,0.89,1.09,15.22,0.37,0,0,18.19,0,1.34,0,0,0,23.07,0,0,0,0,3.96,0,0
 60-70,0,0,0,0,1.11,0,0,2.49,0,0,44.11,0.66,0,0,21.5,0,0,0,0,0,33.33,0,0,0,0,0.68,0,0
 72-82,0,0,0.83,0,0,0,0,21.33,0,2.55,83.49,0.52,0,0,61.86,0,4.63,0,0,0,48.25,0,0,0,0,1.31,0.65,2.8
 84-94,0,0,1.26,0,0.93,6.99,0,10.07,0,1.34,203.08,5.47,1.68,0,211.65,0,0,0,0,0,21.88,0,0,1.79,0,0,2.27,0
 96-106,0,0,4.49,0.87,4.58,0.67,1.12,21.64,3.37,0.6,244.69,0,0,1.24,151.32,0,5.57,0.97,0,0,102.93,0,0,8.88,0,0,0,0
108-118,0,0,2.35,0.44,3.53,0,1.2,11.23,0,0.69,343.73,0,0.61,0,184.87,5.83,5.11,0.93,2.34,1.07,98.97,0.85,0,5.02,0,1.18,0,0
120,0,0,0,0,0,0,0,7.19,0,0,236.89,0,0,0,80.74,0,0,1.12,0,0,102.37,0,0,0,0,0,5.48,0
