stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,115.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.58,0,0,0,4.19,0,0,0,0,0,0,0,0
 10-12,8.19,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.42,11.18,0,0,9.63,6.84,4.8,0,0,0,0,0,0
 14-21,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,23.67,0,1.7,0,0,0,2.95,29.82,0,0,0,9.41,0,2.28,3.68,0,0,0,0
 24-34,0,1.1,0,17.84,0,2.07,1.24,0,0,0,1.47,0,0,1.17,0,37.11,0,0,0,0,1.79,32.57,2.5,1.62,1.09,0,14.27,0,10.52,2.77,0,0.89,0,0
 36-46,0,1.72,0,23.13,0,3.32,1.06,0,0,0,5.59,0.56,0,0,0,7.45,0,2.48,0,0,0,42.09,0,0,1.64,0,27.55,0,9.45,17.52,0,0,0,0
 48-58,0,0,0,9.41,0,22.77,2.19,0,0.39,0,0,0,0,0,0,4.53,0,5.12,0,0,0.38,158.4,0,0,0,0,32.39,0,11.9,26.81,0,0,0,6.91
 60-70,0,1.66,0,10.82,0.72,360.23,3.13,0,8.1,3.72,0,2.61,0.56,0,0,6.81,0,7.52,0,0,0.62,255.12,0,0,0,0,67.13,0,4.35,44.5,0,3.22,0,0
 72-82,0,1.77,0,1.5,0,706.68,3.56,5.63,13.59,3.68,0,3.68,0.53,0,0,0,0,21.01,0.5,0,0.75,349.9,0,0.74,1.41,0,46.26,0,3.09,10.04,0,11.07,0,0
 84-94,0,3.73,0,4.54,0,479.55,0.68,0,30.6,5.59,0,14.2,3.02,0,0,8.4,0,29.74,1.3,3.33,2.37,314.48,0,0,6.54,0,86.32,0,1.51,20.27,0,7.78,0,0
 96-106,0,4.03,3.08,8.68,11.24,547.34,8.82,0,27.62,4.72,1.34,29.29,1.76,0,0,5.57,0,11.49,0.71,0,0.97,273.62,2.03,0,5.51,0,120.9,0,11.08,27.74,0,9.58,0,0.8
108-118,0,1.54,0.46,11.92,0,494.63,0.54,0,26.64,0.75,0,31.27,6.82,0.91,1.88,1.48,4.49,34.45,0,0,0,347.31,1.15,1.43,5.25,0,88.77,0,4.84,0,0.89,0,1.58,0
120,0,5.36,0,24.04,0,224.84,0,0,27.73,1.38,0,55.87,9.09,0,1.88,12.95,0,52.25,1.47,0,0,451.06,0,0,4.04,0,64.14,2.5,6.59,9.28,0,36.68,0,0
