stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste
 14-21,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,2.86,1.09,0
 36-46,0,0,0,0,0,0,0.76,0,0,4.68,0.77,0,4.76,0,4.27,0,0
 48-58,0,0,0,0.41,0,0,0,0,0,0.48,0,0,5.43,0,1.08,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,1.39,4.21,5.29,0,0
 72-82,0.61,0.6,0,3.15,0,0.76,0,0,0,0,0.54,0.67,4.4,1.22,0,0,1.62
 84-94,0,0,0,0,3.48,0,0,0,1.12,0,0,0,1.03,0,0.72,0,0
 96-106,0,0,0,0,9.53,0.7,0,1.43,0,0,0,4.41,3.51,0,0.68,0,0
108-118,0,0,0.56,1.38,2.08,0,0,2.56,0,0,0,0,7.72,2.48,4.06,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0
