stage,axial,blastomeres,endoderm,eye,hatching.gland,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites
  3-4,34.51,323.21,0,0,0,0,0,0,0,23.87,0,0
  5-6,23.88,421.19,0,0,0,0,0,0,0,17.83,0,0
  7-9,13.3,11.48,8.37,18.5,23.13,0,189.46,13.12,59.43,0,0,0
 10-12,0,3.84,35.01,11.33,12.17,7.75,167.05,22.17,100.68,0,10.55,3.11
