stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.81,0,0.95,0.95,0,4.6,0,0,0,0,2.36,0,2.19,3.96,0,0
 24-34,0,0,0,0,1.29,0,0,0,0,1.29,0,0,1.53,0,31.62,1.53,0,0,0.63,0,0,1.38,9.18,0,0
 36-46,0,0,0,0,4.41,0.78,10.41,0,0,0,0,0,0,1.22,34.78,0,0,0,0,0,0.7,0,8.4,0,0
 48-58,0,0,0,0,10.88,0,0.9,1.96,0,0.39,0,0,1.05,0,14.45,0,1.36,0,0,0,0,0,7,0.5,0
 60-70,0,0,0,0,22.78,0,3.18,0,0,0,0,5.61,0,0,25.22,0,0,0,0,0,0,0,3.07,0,0
 72-82,0,0,0,0,25.16,0,5.05,0,0,0.66,0,1.21,0,0,35.35,0,0,0,1.21,0,0,0,1.86,2.94,2.27
 84-94,0,0,0,0,24.62,0,5.02,2,0,2.19,0,1.49,0,0,23.89,1.31,0,0,0,0,0,0,0,1.4,0
 96-106,0,0.74,0,0,15.83,0,3.75,1.23,0,0.87,0.66,15.75,1.27,1.05,45.83,0,0,2.02,0,0,0,0,0,0,0
108-118,0,2.35,0,4.61,10.65,0,1.95,2.16,4.81,0.65,0.74,6.86,0,0,17.64,0,7.65,1.12,1.07,0,0,0,0,0,0
120,0,7.01,0,0,23.86,0,7.3,22.51,0,0,0,0,0,0,89.56,0,1.11,2.79,0,0,0,0,11.59,0,0
