stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0
 14-21,0,7.11,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0.85,0,0,0
 24-34,0,1.41,0,1.39,2.89,0,1.31,0,0,0,0,0,0,5.21,0,0.61,23.87,0,0.64,0,0,0,0,6.57,0,0
 36-46,0,0.84,0,2.33,0,0,5.74,0,0,0,0,0,1.74,4.46,0,4.5,31.41,1.54,1.08,0,0,0,0,4.58,0,0
 48-58,0,0,0,8.47,1.4,0.94,2.08,0,0.54,0,0,0,0,8.15,0,0,25.58,0,0.4,2.39,0,0,0,3.2,0,0
 60-70,0,1.88,0,7.81,2.02,0,3.76,7.17,0,2.87,0,0,0,24.57,0.89,7.68,16.21,0,0,0,0,0,0,0,0,0
 72-82,0,0.69,0,12.53,2.19,5.38,6.15,0,0,0,0,0,0,12.92,2.29,2.17,33.55,0,0,0,0,2.68,0,0.57,0,2.75
 84-94,0,1.85,0,4.47,0.57,0,9.3,2.71,0,2.32,0,0.64,0,6.76,0,0.87,9.34,0,0.62,1.92,0,0,0,0.73,0,3
 96-106,0,0,0,9.88,2.64,0,1.4,0.8,0,0,1.05,0,0,10.99,0.79,0,8.35,0,2.44,0.81,0,0,0,0,1.25,0
108-118,0,1.8,6.59,8.14,0,0,12.02,0,0,0,0,0,0,2.37,0,2.26,9.21,0,2.68,0,1.07,0,0,0,0,1.09
120,0,1.21,0,37.64,0,0,8.6,11.24,0,0,0,5.57,0,9.86,0,0,26.23,0,3.28,1.02,0,0,0,0,0,2.01
